,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,TOTAL,,,
,,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price
Year,STATE,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
2019,ME,"110,964","550,717","75,377",20.15,"262,215","2,239,989","24,656",11.71,"220,093","2,424,850",971,9.08,0,0,0,0.00,"593,272","5,215,556","101,004",11.38
2019,MI,100,627,33,15.95,"292,575","3,885,451","5,348",7.53,"288,569","5,025,491",283,5.74,0,0,0,0.00,"581,244","8,911,569","5,664",6.52
2019,MT,1,7,2,11.43,"8,046","140,627",404,5.72,"131,827","3,250,631",39,4.06,0,0,0,0.00,"139,874","3,391,265",445,4.12
2019,NH,"172,826","784,067","101,046",22.04,"462,855","2,951,334","34,442",15.68,"222,998","1,695,088","1,385",13.16,0,0,0,0.00,"858,679","5,430,489","136,873",15.81
2019,NJ,"591,060","3,456,920","395,659",17.10,"2,972,446","24,703,961","142,496",12.03,"547,171","5,070,039","3,760",10.79,"20,832","242,194",6,8.60,"4,131,509","33,473,114","541,921",12.34
2019,NV,0,0,0,0.00,"155,439","2,946,821",26,5.27,"44,039","1,597,969",6,2.76,0,0,0,0.00,"199,478","4,544,790",32,4.39
2019,NY,"1,598,639","7,626,758","1,083,366",20.96,"6,314,034","48,008,134","314,472",13.15,"812,132","14,299,425","3,714",5.68,"312,324","2,566,117",4,12.17,"9,037,128","72,500,434","1,401,556",12.46
2019,OH,"3,052,515","24,240,662","2,371,601",12.59,"3,432,695","36,885,924","384,294",9.31,"2,549,405","41,754,151","11,060",6.11,"2,456","36,062",1,6.81,"9,037,071","102,916,799","2,766,956",8.78
2019,OR,0,0,0,0.00,"66,707","983,409",584,6.78,"91,807","1,688,757",73,5.44,0,0,0,0.00,"158,514","2,672,166",657,5.93
2019,PA,"2,561,857","16,555,077","1,535,921",15.47,"2,461,802","30,277,175","300,352",8.13,"3,029,861","47,562,783","10,435",6.37,"44,937","618,767",6,7.26,"8,098,457","95,013,802","1,846,714",8.52
2019,RI,"74,305","307,299","48,043",24.18,"389,245","2,440,218","14,719",15.95,"81,571","552,400",474,14.77,"4,994","27,005",1,18.49,"550,115","3,326,922","63,237",16.54
2019,VA,0,0,0,0.00,"27,807","503,621",79,5.52,"63,627","1,101,967",17,5.77,0,0,0,0.00,"91,434","1,605,588",96,5.69
