,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,TOTAL,,,
,,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price
Year,STATE,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
2019,MD,"266,818","4,928,299","434,256",5.41,"756,350","21,854,232","96,426",3.46,"64,750","3,240,181","4,180",2.00,"9,348","575,218",5,1.63,"1,097,265","30,597,930","534,867",3.59
2019,ME,"46,822","550,717","75,377",8.50,"101,622","2,239,989","24,656",4.54,"68,507","2,424,850",971,2.83,0,0,0,0.00,"216,951","5,215,556","101,004",4.16
2019,MI,44,627,33,7.02,"79,141","3,885,451","5,348",2.04,"29,880","5,025,491",283,0.59,0,0,0,0.00,"109,065","8,911,569","5,664",1.22
2019,MT,0,7,2,5.71,"3,543","140,627",404,2.52,"15,732","3,250,631",39,0.48,0,0,0,0.00,"19,275","3,391,265",445,0.57
2019,NH,"80,885","784,067","101,046",10.32,"223,209","2,951,334","34,442",7.56,"94,097","1,695,088","1,385",5.55,0,0,0,0.00,"398,190","5,430,489","136,873",7.33
2019,NJ,"164,911","3,456,920","395,659",4.77,"980,338","24,703,961","142,496",3.97,"168,584","5,070,039","3,760",3.33,"4,215","242,194",6,1.74,"1,318,047","33,473,114","541,921",3.94
2019,NV,0,0,0,0.00,"34,916","2,946,821",26,1.18,"2,196","1,597,969",6,0.14,0,0,0,0.00,"37,112","4,544,790",32,0.82
2019,NY,"900,444","7,626,758","1,083,366",11.81,"3,237,072","48,008,134","314,472",6.74,"260,578","14,299,425","3,714",1.82,"127,647","2,566,117",4,4.97,"4,525,740","72,500,434","1,401,556",6.24
2019,OH,"1,568,636","24,240,662","2,371,601",6.47,"1,619,935","36,885,924","384,294",4.39,"652,857","41,754,151","11,060",1.56,731,"36,062",1,2.03,"3,842,160","102,916,799","2,766,956",3.73
2019,OR,0,0,0,0.00,"28,143","983,409",584,2.86,"27,343","1,688,757",73,1.62,0,0,0,0.00,"55,486","2,672,166",657,2.08
2019,PA,"1,076,805","16,555,077","1,535,921",6.50,"700,030","30,277,175","300,352",2.31,"475,312","47,562,783","10,435",1.00,"9,643","618,767",6,1.56,"2,261,790","95,013,802","1,846,714",2.38
2019,RI,"33,356","307,299","48,043",10.85,"182,942","2,440,218","14,719",7.50,"38,105","552,400",474,6.90,"2,368","27,005",1,8.77,"256,771","3,326,922","63,237",7.72
2019,VA,0,0,0,0.00,"3,088","503,621",79,0.61,"3,036","1,101,967",17,0.28,0,0,0,0.00,"6,124","1,605,588",96,0.38
2019,WA,0,0,0,0.00,"6,909","236,278",65,2.92,"12,603","2,085,743",15,0.60,0,0,0,0.00,"19,512","2,322,021",80,0.84
2019,US,"8,850,475","104,351,562","12,826,894",8.48,"14,808,622","282,829,905","2,327,158",5.24,"3,764,041","190,481,753","49,779",1.98,"186,959","5,768,016",33,3.24,"27,610,096","583,431,236","15,203,864",4.73
2018,CA,"1,268,023","8,526,720","1,499,980",14.87,"2,468,770","26,185,435","287,141",9.43,"739,702","12,833,195","2,051",5.76,"6,595","409,346",1,1.61,"4,483,089","47,954,696","1,789,173",9.35
2018,CT,"440,963","3,520,450","382,731",12.53,"760,635","9,104,007","61,872",8.35,"149,637","2,311,190","2,279",6.47,"4,762","99,233",2,4.80,"1,355,997","15,034,880","446,884",9.02
2018,DC,"26,498","623,821","45,457",4.25,"340,307","7,050,368","9,761",4.83,"3,038","192,662",1,1.58,"11,580","336,781",3,3.44,"381,423","8,203,632","55,222",4.65
2018,DE,"17,054","315,673","27,041",5.40,"58,005","2,568,318","11,037",2.26,"11,140","1,446,384",111,0.77,0,0,0,0.00,"86,200","4,330,375","38,189",1.99
2018,IL,"938,730","17,152,625","1,803,753",5.47,"937,719","34,427,447","277,992",2.72,"551,792","38,244,400","2,545",1.44,"8,247","551,353",3,1.50,"2,436,487","90,375,825","2,084,293",2.70
2018,MA,"867,686","7,954,073","1,114,652",10.91,"1,330,280","19,341,005","204,295",6.88,"248,670","4,171,960","3,935",5.96,"3,141","348,572",2,0.90,"2,449,777","31,815,610","1,322,884",7.70
2018,MD,"276,100","5,233,398","447,248",5.28,"779,624","22,591,650","96,543",3.45,"68,582","3,424,187","4,078",2.00,"9,216","530,275",5,1.74,"1,133,522","31,779,510","547,874",3.57
2018,ME,"55,116","651,944","90,598",8.45,"104,630","2,431,739","22,712",4.30,"77,906","2,708,264",969,2.88,0,0,0,0.00,"237,651","5,791,947","114,279",4.10
2018,MI,26,367,35,7.08,"81,494","3,905,778","5,390",2.09,"29,126","4,964,626",279,0.59,0,0,0,0.00,"110,646","8,870,771","5,704",1.25
2018,MT,0,6,2,5.00,"3,425","142,744",407,2.40,"14,189","2,893,432",38,0.49,0,0,0,0.00,"17,615","3,036,182",447,0.58
2018,NH,"91,919","924,666","113,956",9.94,"221,977","3,059,829","35,169",7.25,"94,753","1,732,431","1,435",5.47,0,0,0,0.00,"408,649","5,716,926","150,560",7.15
2018,NJ,"177,248","3,821,995","419,010",4.64,"959,510","25,812,509","147,926",3.72,"175,866","5,653,462","4,002",3.11,"5,839","309,902",6,1.88,"1,318,463","35,597,868","570,944",3.70
2018,NV,0,0,0,0.00,"33,519","3,317,597",24,1.01,"2,327","1,500,508",5,0.16,0,0,0,0.00,"35,847","4,818,105",29,0.74
2018,NY,"967,293","8,289,915","1,126,285",11.67,"3,395,560","50,587,317","321,254",6.71,"265,151","15,133,652","3,740",1.75,"125,351","2,627,010",4,4.77,"4,753,355","76,637,894","1,451,283",6.20
2018,OH,"1,673,589","25,290,120","2,366,296",6.62,"1,719,854","37,624,343","382,083",4.57,"771,075","43,138,253","11,042",1.79,727,"33,665",1,2.16,"4,165,244","106,086,381","2,759,422",3.93
2018,OR,0,0,0,0.00,"29,069","965,495",552,3.01,"27,433","1,628,623",64,1.68,0,0,0,0.00,"56,502","2,594,118",616,2.18
2018,PA,"1,202,232","18,403,932","1,638,102",6.53,"730,453","33,016,874","311,467",2.21,"452,393","47,029,876","8,700",0.96,"11,756","703,259",6,1.67,"2,396,834","99,153,941","1,958,275",2.42
2018,RI,"36,680","350,823","50,242",10.46,"181,862","2,514,381","14,502",7.23,"39,448","581,403",475,6.78,"2,498","26,966",1,9.26,"260,488","3,473,573","65,220",7.50
2018,VA,0,0,0,0.00,"1,654","299,804",58,0.55,"1,436","476,672",9,0.30,0,0,0,0.00,"3,090","776,476",67,0.40
2018,WA,0,0,0,0.00,244,"34,644",1,0.70,"13,634","1,994,083",15,0.68,0,0,0,0.00,"13,878","2,028,727",16,0.68
2018,US,"8,039,156","101,060,528","11,125,388",7.95,"14,138,591","284,981,284","2,190,186",4.96,"3,737,298","192,059,263","45,773",1.95,"189,712","5,976,362",34,3.17,"26,104,756","584,077,437","13,361,381",4.47
