,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,TOTAL,,,
,,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price
Year,STATE,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
2018,AR,"1,888,657","19,259,204","1,388,358",9.81,"951,473","12,278,279","196,482",7.75,"1,018,825","18,064,787","36,596",5.64,50,438,2,11.35,"3,859,004","49,602,708","1,621,438",7.78
2018,AZ,"4,425,192","34,660,297","2,808,352",12.77,"3,158,290","29,683,550","322,135",10.64,"916,272","13,994,441","7,794",6.55,803,"8,014",2,10.02,"8,500,556","78,346,302","3,138,283",10.85
2018,CA,"16,782,222","89,099,985","13,591,152",18.84,"18,924,312","115,786,492","1,714,875",16.34,"6,546,363","49,587,913","148,644",13.20,"64,821","749,882",12,8.64,"42,317,717","255,224,272","15,454,683",16.58
2018,CO,"2,342,778","19,286,952","2,326,976",12.15,"2,105,709","21,023,300","376,104",10.02,"1,198,532","16,047,258","15,985",7.47,"8,371","92,970",1,9.00,"5,655,389","56,450,480","2,719,066",10.02
2018,CT,"2,769,111","13,061,372","1,503,701",21.20,"2,074,987","12,381,063","153,824",16.76,"441,995","3,209,992","4,308",13.77,"23,296","181,498",4,12.84,"5,309,389","28,833,925","1,661,837",18.41
2018,DC,"332,869","2,592,242","274,613",12.84,"985,752","8,236,225","26,336",11.97,"15,982","192,662",1,8.30,"32,125","336,781",3,9.54,"1,366,729","11,357,910","300,953",12.03
2018,DE,"635,362","5,070,175","432,449",12.53,"419,179","4,342,340","54,904",9.65,"187,698","2,360,585",837,7.95,0,0,0,0.00,"1,242,239","11,773,100","488,190",10.55
2018,FL,"14,485,280","125,528,047","9,423,022",11.54,"8,845,109","96,265,276","1,229,559",9.19,"1,276,341","16,689,129","21,327",7.65,"6,854","82,939",2,8.26,"24,613,584","238,565,391","10,673,910",10.32
2018,GA,"6,847,325","59,689,106","4,354,021",11.47,"4,633,071","47,311,675","579,468",9.79,"1,963,178","32,695,791","23,065",6.00,"9,354","169,502",1,5.52,"13,452,928","139,866,074","4,956,555",9.62
2018,HI,"880,207","2,710,698","436,266",32.47,"906,817","3,033,009","59,661",29.90,"937,994","3,593,454",814,26.10,0,0,0,0.00,"2,725,018","9,337,161","496,741",29.18
2018,IA,"1,817,122","14,840,349","1,385,756",12.24,"1,202,569","12,417,671","239,703",9.68,"1,546,011","23,952,635","7,890",6.45,0,0,0,0.00,"4,565,702","51,210,655","1,633,349",8.92
2018,ID,"855,157","8,427,578","743,567",10.15,"510,534","6,436,893","110,797",7.93,"575,247","8,889,037","28,418",6.47,0,0,0,0.00,"1,940,939","23,753,508","882,782",8.17
2018,IL,"6,028,532","47,225,915","5,289,573",12.77,"4,631,432","50,762,829","616,192",9.12,"2,998,939","44,114,711","5,717",6.80,"37,205","551,353",3,6.75,"13,696,108","142,654,808","5,911,485",9.60
2018,IN,"4,239,862","34,574,664","2,863,358",12.26,"2,575,962","24,305,199","354,730",10.60,"3,343,388","45,293,322","17,763",7.38,"2,213","21,191",1,10.44,"10,161,425","104,194,376","3,235,852",9.75
