,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,TOTAL,,,
,,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price
Year,STATE,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
2019,ME,"64,142","550,717","75,377",11.65,"160,593","2,239,989","24,656",7.17,"151,586","2,424,850",971,6.25,0,0,0,0.00,"376,321","5,215,556","101,004",7.22
2019,MI,56,627,33,8.93,"213,435","3,885,451","5,348",5.49,"258,688","5,025,491",283,5.15,0,0,0,0.00,"472,179","8,911,569","5,664",5.30
2019,MT,0,7,2,5.71,"4,503","140,627",404,3.20,"116,095","3,250,631",39,3.57,0,0,0,0.00,"120,598","3,391,265",445,3.56
2019,NH,"91,941","784,067","101,046",11.73,"239,646","2,951,334","34,442",8.12,"128,902","1,695,088","1,385",7.60,0,0,0,0.00,"460,488","5,430,489","136,873",8.48
2019,NJ,"426,149","3,456,920","395,659",12.33,"1,992,108","24,703,961","142,496",8.06,"378,588","5,070,039","3,760",7.47,"16,617","242,194",6,6.86,"2,813,462","33,473,114","541,921",8.41
2019,NV,0,0,0,0.00,"120,523","2,946,821",26,4.09,"41,843","1,597,969",6,2.62,0,0,0,0.00,"162,366","4,544,790",32,3.57
2019,NY,"698,195","7,626,758","1,083,366",9.15,"3,076,962","48,008,134","314,472",6.41,"551,554","14,299,425","3,714",3.86,"184,677","2,566,117",4,7.20,"4,511,388","72,500,434","1,401,556",6.22
2019,OH,"1,483,879","24,240,662","2,371,601",6.12,"1,812,760","36,885,924","384,294",4.91,"1,896,548","41,754,151","11,060",4.54,"1,725","36,062",1,4.78,"5,194,912","102,916,799","2,766,956",5.05
2019,OR,0,0,0,0.00,"38,564","983,409",584,3.92,"64,465","1,688,757",73,3.82,0,0,0,0.00,"103,028","2,672,166",657,3.86
2019,PA,"1,485,051","16,555,077","1,535,921",8.97,"1,761,772","30,277,175","300,352",5.82,"2,554,549","47,562,783","10,435",5.37,"35,295","618,767",6,5.70,"5,836,667","95,013,802","1,846,714",6.14
2019,RI,"40,949","307,299","48,043",13.33,"206,304","2,440,218","14,719",8.45,"43,466","552,400",474,7.87,"2,626","27,005",1,9.72,"293,344","3,326,922","63,237",8.82
2019,VA,0,0,0,0.00,"24,720","503,621",79,4.91,"60,591","1,101,967",17,5.50,0,0,0,0.00,"85,310","1,605,588",96,5.31
2019,WA,0,0,0,0.00,"6,516","236,278",65,2.76,"61,256","2,085,743",15,2.94,0,0,0,0.00,"67,772","2,322,021",80,2.92
2019,US,"8,718,179","104,351,562","12,826,894",8.35,"18,435,632","282,829,905","2,327,158",6.52,"9,738,386","190,481,753","49,779",5.11,"360,334","5,768,016",33,6.25,"37,252,531","583,431,236","15,203,864",6.39
2018,CA,"570,215","8,526,720","1,499,980",6.69,"1,653,374","26,185,435","287,141",6.31,"717,811","12,833,195","2,051",5.59,"14,480","409,346",1,3.54,"2,955,879","47,954,696","1,789,173",6.16
2018,CT,"348,297","3,520,450","382,731",9.89,"771,127","9,104,007","61,872",8.47,"189,099","2,311,190","2,279",8.18,"8,249","99,233",2,8.31,"1,316,771","15,034,880","446,884",8.76
2018,DC,"68,017","623,821","45,457",10.90,"493,581","7,050,368","9,761",7.00,"12,945","192,662",1,6.72,"20,545","336,781",3,6.10,"595,087","8,203,632","55,222",7.25
2018,DE,"28,677","315,673","27,041",9.08,"163,780","2,568,318","11,037",6.38,"85,649","1,446,384",111,5.92,0,0,0,0.00,"278,105","4,330,375","38,189",6.42
2018,IL,"1,301,800","17,152,625","1,803,753",7.59,"2,008,374","34,427,447","277,992",5.83,"2,012,296","38,244,400","2,545",5.26,"28,959","551,353",3,5.25,"5,351,428","90,375,825","2,084,293",5.92
2018,MA,"970,984","7,954,073","1,114,652",12.21,"1,975,779","19,341,005","204,295",10.22,"403,692","4,171,960","3,935",9.68,"19,114","348,572",2,5.48,"3,369,569","31,815,610","1,322,884",10.59
2018,MD,"501,417","5,233,398","447,248",9.58,"1,510,792","22,591,650","96,543",6.69,"208,599","3,424,187","4,078",6.09,"30,224","530,275",5,5.70,"2,251,032","31,779,510","547,874",7.08
2018,ME,"67,041","651,944","90,598",10.28,"181,848","2,431,739","22,712",7.48,"170,956","2,708,264",969,6.31,0,0,0,0.00,"419,845","5,791,947","114,279",7.25
2018,MI,31,367,35,8.50,"217,471","3,905,778","5,390",5.57,"259,159","4,964,626",279,5.22,0,0,0,0.00,"476,662","8,870,771","5,704",5.37
2018,MT,0,6,2,6.67,"3,775","142,744",407,2.64,"91,351","2,893,432",38,3.16,0,0,0,0.00,"95,127","3,036,182",447,3.13
2018,NH,"104,037","924,666","113,956",11.25,"254,099","3,059,829","35,169",8.30,"137,999","1,732,431","1,435",7.97,0,0,0,0.00,"496,135","5,716,926","150,560",8.68
2018,NJ,"467,859","3,821,995","419,010",12.24,"2,136,033","25,812,509","147,926",8.28,"427,728","5,653,462","4,002",7.57,"22,255","309,902",6,7.18,"3,053,875","35,597,868","570,944",8.58
2018,NV,0,0,0,0.00,"127,283","3,317,597",24,3.84,"37,888","1,500,508",5,2.53,0,0,0,0.00,"165,171","4,818,105",29,3.43
2018,NY,"792,015","8,289,915","1,126,285",9.55,"3,477,355","50,587,317","321,254",6.87,"648,971","15,133,652","3,740",4.29,"187,091","2,627,010",4,7.12,"5,105,431","76,637,894","1,451,283",6.66
2018,OH,"1,560,123","25,290,120","2,366,296",6.17,"1,970,440","37,624,343","382,083",5.24,"2,111,884","43,138,253","11,042",4.90,"1,727","33,665",1,5.13,"5,644,174","106,086,381","2,759,422",5.32
2018,OR,0,0,0,0.00,"33,484","965,495",552,3.47,"56,545","1,628,623",64,3.47,0,0,0,0.00,"90,029","2,594,118",616,3.47
2018,PA,"1,615,731","18,403,932","1,638,102",8.78,"2,063,993","33,016,874","311,467",6.25,"2,719,286","47,029,876","8,700",5.78,"42,940","703,259",6,6.11,"6,441,950","99,153,941","1,958,275",6.50
2018,RI,"41,278","350,823","50,242",11.77,"219,568","2,514,381","14,502",8.73,"47,500","581,403",475,8.17,"2,088","26,966",1,7.74,"310,433","3,473,573","65,220",8.94
2018,VA,0,0,0,0.00,"16,344","299,804",58,5.45,"30,628","476,672",9,6.43,0,0,0,0.00,"46,972","776,476",67,6.05
2018,WA,0,0,0,0.00,966,"34,644",1,2.79,"53,576","1,994,083",15,2.69,0,0,0,0.00,"54,542","2,028,727",16,2.69
2018,US,"8,437,521","101,060,528","11,125,388",8.35,"19,279,465","284,981,284","2,190,186",6.77,"10,423,561","192,059,263","45,773",5.43,"377,670","5,976,362",34,6.32,"38,518,216","584,077,437","13,361,381",6.59
