,Year,Total Fossil Fuels Production,Nuclear Electric Power Production,Total Renewable Energy Production,Total Primary Energy Production,Primary Energy Imports,Primary Energy Exports,Primary Energy Net Imports,Primary Energy Stock Change and Other,Total Fossil Fuels Consumption,Nuclear Electric Power Consumption,Total Renewable Energy Consumption,Total Primary Energy Consumption,Population,Total Fossil Fuels Production Per Capita,Nuclear Electric Power Production Per Capita,Total Renewable Energy Production Per Capita,Total Primary Energy Production Per Capita,Primary Energy Imports Per Capita,Primary Energy Exports Per Capita,Primary Energy Net Imports Per Capita,Primary Energy Stock Change and Other Per Capita,Total Fossil Fuels Consumption Per Capita,Nuclear Electric Power Consumption Per Capita,Total Renewable Energy Consumption Per Capita,Total Primary Energy Consumption Per Capita
0,2018,75.797746,8.438068,7.734125,91.96994,24.833272,21.223654,3.609618,1.815218,81.280532,8.438068,7.524491,97.394776,335056497,226223776.22481978,25184015.458742168,23083047.394242886,274490842.06237614,74116670.53870022,63343508.30391449,10773162.234785736,5417647.519904681,242587541.88551074,25184015.458742168,22457379.77735737,290681651.81706655
1,2019,81.404862,8.451852,7.742749,97.599462,22.865227,23.475568,-0.610341,-0.395758,80.424546,8.451852,7.583746,96.593364,337790067,240992468.2598793,25021019.93425402,22921778.217948604,288935263.4516633,67690643.49070987,69497508.34443572,-1806864.85372585,-1171609.3475300444,238090322.5315977,25021019.93425402,22451062.777994595,285956792.21082604
2,2020,76.154667,8.251075,7.455133,91.860874,19.988063,23.463923,-3.47586,0.486677,73.168689,8.251075,7.290491,88.871691,339436159,224356377.42412704,24308179.25912248,21963284.707095686,270627838.4442831,58886074.656530626,69126174.03262568,-10240099.37609505,1433780.6597676,215559500.836798,24308179.25912248,21478239.152476385,261821519.72795567
3,2021,77.987096,8.130913,7.797231,93.91524,21.455387,25.071447,-3.616061,3.05365,77.45362,8.130913,7.634165,93.352829,340161441,229264950.69733667,23903100.175307643,22922148.310160764,276090199.18280506,63074130.145162456,73704553.12717234,-10630425.921790471,8977060.983228844,227696648.31000054,23903100.175307643,22442770.049295504,274436834.24424344
4,2022,82.225049,8.06102,8.297453,98.583523,21.506729,27.335048,-5.828319,2.056704,78.529365,8.06102,8.080907,94.811908,341534046,240752129.8769728,23602390.726223525,24294658.459906515,288649181.9910686,62970966.589960404,80036085.18724367,-17065118.59728327,6021958.935244774,229931293.58471045,23602390.726223525,23660619.181725737,277606022.3290301
5,2023,86.245088,8.098974,8.437463,102.781526,21.657385,29.645319,-7.987934,-1.102371,77.270993,8.098974,8.25641,93.691221,343477335,251093971.0184953,23579354.95219794,24564831.91241716,299238160.79451066,63053316.167135164,86309389.23524605,-23256073.068110883,-3209443.2082396355,224966788.56553957,23579354.95219794,24037714.162420645,272772644.5181601
