,PRODUCT TYPE,COUNTRY,MEASURE,Year,Total Imports,Population,Meat Imports Per Capita
0,"Total red meats, fresh and frozen",Canada,Million dollars,2023,3793.9,343477335,1.1045561419649421
1,,Australia,Million dollars,2023,2589.9,343477335,0.7540235515103202
2,,Mexico,Million dollars,2023,1983.7,343477335,0.5775344681767721
3,,New Zealand,Million dollars,2023,1347.7,343477335,0.39236941208944687
4,,Brazil,Million dollars,2023,477.9,343477335,0.139135818088259
5,,Uruguay,Million dollars,2023,323.9,343477335,0.09430025419290038
6,,Nicaragua,Million dollars,2023,298.8,343477335,0.08699263955800751
7,,Rest of world,Million dollars,2023,600.0,343477335,0.1746840151767219
8,,World,Million dollars,2023,11415.8,343477335,3.3235963007573703
9,,World (quantity),"1,000 metric tons",2023,1822.6,343477335,0.5306318101018223
10,Fresh or chilled red meats,Canada,Million dollars,2023,3429.8,343477335,0.9985520587552014
11,,Mexico,Million dollars,2023,1638.2,343477335,0.47694558943750975
12,,Australia,Million dollars,2023,756.6,343477335,0.22027654313784634
13,,Nicaragua,Million dollars,2023,102.8,343477335,0.029929194600278358
14,,New Zealand,Million dollars,2023,81.0,343477335,0.02358234204885746
15,,Argentina,Million dollars,2023,72.8,343477335,0.02119499384144226
16,,Rest of world,Million dollars,2023,129.7,343477335,0.037760861280701385
17,,World,Million dollars,2023,6210.9,343477335,1.808241583101837
18,,World (quantity),"1,000 metric tons",2023,906.3,343477335,0.26386020492443846
19,,,,2023,,343477335,
20,Frozen red meats and parts,Australia,Million dollars,2023,1029.8,343477335,0.2998159980483137
21,,New Zealand,Million dollars,2023,937.6,343477335,0.27297288771615746
22,,Brazil,Million dollars,2023,471.2,343477335,0.13718517991878562
23,,Canada,Million dollars,2023,361.2,343477335,0.10515977713638659
24,,Mexico,Million dollars,2023,343.7,343477335,0.1000648266937322
25,,Uruguay,Million dollars,2023,280.7,343477335,0.08172300510017641
26,,Rest of world,Million dollars,2023,639.2,343477335,0.1860967041682678
27,,World,Million dollars,2023,4063.4,343477335,1.1830183787818198
28,,World (quantity),"1,000 metric tons",2023,803.2,343477335,0.23384366831657175
29,,,,2023,,343477335,
30,Fowl and other meats,Chile,Million dollars,2023,180.9,343477335,0.05266723057578166
31,,Canada,Million dollars,2023,138.6,343477335,0.04035200750582276
32,,New Zealand,Million dollars,2023,32.0,343477335,0.00931648080942517
33,,China ,Million dollars,2023,8.9,343477335,0.002591146225121375
34,,Rest of world,Million dollars,2023,15.7,343477335,0.004570898397124224
35,,World,Million dollars,2023,376.1,343477335,0.1094977635132752
36,,World (quantity),"1,000 metric tons",2023,90.3,343477335,0.026289944284096648
37,,,,2023,,343477335,
38,Prepared meats,Canada,Million dollars,2023,841.6,343477335,0.24502344528788195
39,,Brazil,Million dollars,2023,390.1,343477335,0.11357372386739871
40,,Italy,Million dollars,2023,241.6,343477335,0.07033943011116003
41,,Mexico,Million dollars,2023,77.3,343477335,0.022505123955267676
42,,Uruguay,Million dollars,2023,64.1,343477335,0.018662075621379788
43,,Poland,Million dollars,2023,55.4,343477335,0.016129157401317325
44,,Spain,Million dollars,2023,48.1,343477335,0.014003835216667208
45,,New Zealand,Million dollars,2023,46.9,343477335,0.013654467186313763
46,,Rest of world,Million dollars,2023,131.2,343477335,0.03819757131864319
47,,World,Million dollars,2023,1896.3,343477335,0.5520888299660296
48,,World (quantity),"1,000 metric tons",2023,246.9,343477335,0.07188247224522107
49,Total fish and shellfish,Canada,Million dollars,2023,3549.6,343477335,1.0334306337854868
50,,Chile,Million dollars,2023,3235.3,343477335,0.941925323835414
51,,India,Million dollars,2023,2543.1,343477335,0.7403981983265359
52,,Indonesia,Million dollars,2023,2002.8,343477335,0.5830952426598978
53,,Ecuador,Million dollars,2023,1677.1,343477335,0.48827093642146724
54,,Vietnam,Million dollars,2023,1520.5,343477335,0.4426784084603428
55,,China ,Million dollars,2023,1514.3,343477335,0.44087334030351666
56,,Rest of world,Million dollars,2023,8806.6,343477335,2.5639537467588656
57,,World,Million dollars,2023,24849.3,343477335,7.2346258305515265
58,,World (quantity),"1,000 metric tons",2023,2820.0,343477335,0.821014871330593
59,"Whole fish--fresh, chilled, or frozen",Canada,Million dollars,2023,814.7,343477335,0.2371917786074589
60,,Norway,Million dollars,2023,316.6,343477335,0.09217493200825028
61,,Chile,Million dollars,2023,205.2,343477335,0.0597419331904389
62,,Mexico,Million dollars,2023,203.1,343477335,0.05913053913732037
63,,Faroe Islands,Million dollars,2023,145.2,343477335,0.0422735316727667
64,,China ,Million dollars,2023,136.5,343477335,0.039740613452704236
65,,Rest of world,Million dollars,2023,1476.6,343477335,0.42989736134991263
66,,World,Million dollars,2023,3297.9,343477335,0.9601506894188521
67,,World (quantity),"1,000 metric tons",2023,426.4,343477335,0.12414210678559039
68,Fish fillets and mince,Chile,Million dollars,2023,2889.3,343477335,0.8411908750835044
69,,China ,Million dollars,2023,979.4,343477335,0.28514254077346907
70,,Norway,Million dollars,2023,953.1,343477335,0.2774855581082228
71,,Vietnam,Million dollars,2023,521.3,343477335,0.15177129518604188
72,,Indonesia,Million dollars,2023,374.1,343477335,0.10891548346268612
73,,Canada,Million dollars,2023,282.3,343477335,0.08218882914064767
74,,Rest of world,Million dollars,2023,1914.6,343477335,0.5574166924289197
75,,World,Million dollars,2023,7914.1,343477335,2.3041112741834917
76,,World (quantity),"1,000 metric tons",2023,807.7,343477335,0.23515379843039716
77,"Shellfish, fresh or frozen",Canada,Million dollars,2023,1948.4,343477335,0.567257225283875
78,,India,Million dollars,2023,1912.7,343477335,0.55686352638086
79,,Ecuador,Million dollars,2023,1318.5,343477335,0.3838681233508464
80,,Indonesia,Million dollars,2023,756.9,343477335,0.2203638851454347
81,,Vietnam,Million dollars,2023,297.0,343477335,0.08646858751247735
82,,Argentina,Million dollars,2023,290.1,343477335,0.08445972133794506
83,,Mexico,Million dollars,2023,264.7,343477335,0.07706476469546382
84,,Japan,Million dollars,2023,168.8,343477335,0.04914443626971777
85,,Rest of world,Million dollars,2023,1200.1,343477335,0.34939714435597324
86,,World,Million dollars,2023,8157.2,343477335,2.3748874143325933
87,,World (quantity),"1,000 metric tons",2023,878.7,343477335,0.25582474022630924
88,Prepared fish and shellfish,Thailand,Million dollars,2023,891.3,343477335,0.2594931045450204
89,,Indonesia,Million dollars,2023,847.6,343477335,0.24677028543964916
90,,Vietnam,Million dollars,2023,642.1,343477335,0.1869410102416219
91,,India,Million dollars,2023,595.7,343477335,0.17343211306795545
92,,Canada,Million dollars,2023,504.1,343477335,0.14676368675097587
93,,China ,Million dollars,2023,297.0,343477335,0.08646858751247735
94,,Ecuador,Million dollars,2023,228.9,343477335,0.06664195178991941
95,,Mexico,Million dollars,2023,122.4,343477335,0.03563553909605127
96,,Rest of world,Million dollars,2023,1351.0,343477335,0.3933301741729189
97,,World,Million dollars,2023,5480.1,343477335,1.5954764526165897
98,,World (quantity),"1,000 metric tons",2023,707.2,343477335,0.20589422588829623
99,,,,2023,2023.0,343477335,0.5889762711708474
100,Total live animals,Canada,Million dollars,2023,1817.5,343477335,0.5291469959728201
101,,Mexico,Million dollars,2023,1121.9,343477335,0.3266299943779406
102,,Rest of world,Million dollars,2023,0.0,343477335,0.0
103,,World,Million dollars,2023,2939.4,343477335,0.8557769903507607
104,,World (quantity),"1,000 head",2023,8744.7,343477335,2.545932179193134
105,"Bovine animals, live",Canada,Million dollars,2023,1311.1,343477335,0.3817136871636668
106,,Mexico,Million dollars,2023,1121.9,343477335,0.3266299943779406
107,,World,Million dollars,2023,2432.9,343477335,0.708314567539078
108,,World (quantity),"1,000 head",2023,2006.5,343477335,0.5841724607534876
109,"Swine, live",Canada,Million dollars,2023,462.6,343477335,0.1346813757012526
110,,World,Million dollars,2023,462.6,343477335,0.1346813757012526
111,,World (quantity),"1,000 head",2023,6718.7,343477335,1.9560824879464027
112,"Sheep and goats, live",Canada,Million dollars,2023,1.2,343477335,0.00034936803035344385
113,,World,Million dollars,2023,1.2,343477335,0.00034936803035344385
