"Daily usage of transport by mode: Great Britain, since 1 March 2020 [notes a,b]",,,,,,,,,,,,,
"This worksheet contains 1 table. Notes are used throughout this table, please see the notes tab to find the related notes text.",,,,,,,,,,,,,
All figures are given as a percentage of the baseline equivalent day or week.,,,,,,,,,,,,,
"Annotations in this table: [x] for data not available, [z] for not applicable, [r] for revised data, [p] for provisional data.",,,,,,,,,,,,,
"Date
[note 1]",Weekday,"Cars
[note 2]","Light Commercial Vehicles
[note 2]","Heavy Goods Vehicles
[note 2]","All motor vehicles
[note 2]","National Rail
[notes 3,13, 15, 16, 17, 21, 23]","National Rail excluding Elizabeth Line [note 13, 21]","Transport for London Tube
[note 4, 20]","Transport for London Bus
[notes 4,7, 20]","Bus (excluding London)
[notes 5,11]","Cycling
[notes 6,12,18]",Revised,Notes by day
02-Apr-2022,Sat,96%,115%,110%,100%,62%,62%,74%,75%,79%,124%,[z],[z]
03-Apr-2022,Sun,98%,120%,120%,102%,62%,62%,87%,83%,87%,128%,[z],[z]
04-Apr-2022,Mon,89%,108%,106%,93%,62%,62%,58%,64%,71%,84%,[z],[z]
05-Apr-2022,Tue,88%,107%,105%,92%,61%,62%,63%,68%,76%,92%,[z],[z]
06-Apr-2022,Wed,88%,107%,106%,92%,65%,65%,64%,66%,71%,97%,[z],[z]
07-Apr-2022,Thu,88%,104%,104%,92%,65%,65%,66%,68%,72%,101%,[z],[z]
08-Apr-2022,Fri,92%,107%,103%,96%,70%,70%,61%,68%,73%,109%,[z],[z]
09-Apr-2022,Sat,97%,116%,109%,100%,71%,71%,83%,83%,79%,147%,[z],[z]
10-Apr-2022,Sun,100%,123%,121%,105%,71%,71%,81%,87%,88%,157%,[z],[z]
11-Apr-2022,Mon,91%,109%,107%,95%,71%,71%,61%,75%,65%,106%,[z],[z]
12-Apr-2022,Tue,87%,106%,105%,92%,72%,72%,65%,76%,65%,86%,[z],[z]
13-Apr-2022,Wed,90%,108%,106%,95%,72%,72%,66%,75%,65%,125%,[z],[z]
14-Apr-2022,Thu,96%,109%,103%,99%,73%,73%,66%,81%,70%,145%,[z],[z]
15-Apr-2022,Fri (BH),84%,78%,51%,81%,76%,76%,78%,87%,[x],130%,[z],[note 8]
16-Apr-2022,Sat,98%,110%,86%,100%,77%,77%,78%,85%,[x],171%,[z],"[notes 8, 9]"
17-Apr-2022,Sun,96%,110%,84%,99%,77%,77%,81%,87%,[x],161%,[z],"[notes 8, 9]"
18-Apr-2022,Mon (BH),85%,75%,40%,81%,81%,81%,79%,86%,[x],120%,[z],[note 8]
19-Apr-2022,Tue,92%,109%,100%,96%,85%,85%,59%,88%,73%,110%,[z],[z]
20-Apr-2022,Wed,92%,109%,104%,96%,78%,78%,66%,92%,72%,165%,[z],[z]
21-Apr-2022,Thu,92%,107%,104%,96%,74%,74%,68%,89%,73%,174%,[z],[z]
22-Apr-2022,Fri,94%,108%,104%,97%,74%,74%,65%,89%,71%,115%,[z],[z]
23-Apr-2022,Sat,100%,119%,113%,103%,74%,74%,81%,88%,79%,156%,[z],[z]
24-Apr-2022,Sun,105%,130%,123%,110%,74%,74%,78%,85%,88%,173%,[z],[z]
25-Apr-2022,Mon,94%,114%,108%,99%,73%,73%,60%,91%,80%,127%,[z],[z]
26-Apr-2022,Tue,93%,113%,107%,98%,70%,70%,72%,85%,85%,136%,[z],[z]
27-Apr-2022,Wed,93%,112%,107%,98%,77%,77%,70%,82%,80%,137%,[z],[z]
28-Apr-2022,Thu,94%,111%,106%,98%,77%,77%,70%,81%,83%,162%,[z],[z]
29-Apr-2022,Fri,99%,114%,106%,102%,71%,71%,64%,81%,83%,130%,[z],[z]
30-Apr-2022,Sat,102%,122%,111%,106%,72%,72%,82%,87%,86%,196%,[z],[z]
01-May-2022,Sun,100%,123%,107%,104%,72%,72%,83%,86%,97%,117%,[z],[z]
02-May-2022,Mon (BH),83%,76%,43%,80%,74%,74%,90%,92%,[x],127%,[z],[note 8]
03-May-2022,Tue,94%,115%,105%,99%,74%,75%,63%,76%,85%,116%,[z],[z]
04-May-2022,Wed,93%,113%,108%,98%,72%,73%,68%,79%,80%,129%,[z],[z]
05-May-2022,Thu,94%,111%,107%,99%,75%,76%,68%,81%,84%,176%,[z],[z]
06-May-2022,Fri,96%,111%,105%,100%,80%,81%,65%,81%,82%,122%,[z],[z]
07-May-2022,Sat,100%,120%,112%,104%,79%,80%,87%,87%,84%,182%,[z],[z]
08-May-2022,Sun,106%,132%,125%,112%,78%,80%,90%,88%,96%,206%,[z],[z]
09-May-2022,Mon,95%,114%,109%,100%,74%,76%,64%,79%,82%,139%,[z],[note 16]
10-May-2022,Tue,93%,113%,107%,98%,74%,75%,71%,80%,85%,121%,[z],[note 16]
11-May-2022,Wed,92%,112%,106%,97%,76%,77%,70%,80%,79%,110%,[z],[z]
12-May-2022,Thu,93%,110%,105%,98%,70%,72%,72%,82%,84%,165%,[z],[note 16]
13-May-2022,Fri,96%,112%,105%,100%,70%,72%,66%,81%,82%,121%,[z],[note 16]
14-May-2022,Sat,100%,118%,109%,104%,71%,72%,92%,89%,84%,210%,[z],[note 16]
15-May-2022,Sun,104%,130%,125%,109%,71%,73%,87%,81%,90%,128%,[z],[note 16]
16-May-2022,Mon,94%,114%,107%,99%,72%,73%,65%,78%,79%,108%,[z],[note 16]
17-May-2022,Tue,93%,112%,106%,98%,73%,75%,71%,81%,86%,131%,[z],[note 16]
18-May-2022,Wed,93%,112%,107%,98%,69%,70%,71%,81%,81%,154%,[z],[z]
19-May-2022,Thu,94%,110%,105%,98%,75%,77%,74%,80%,83%,176%,[z],[z]
20-May-2022,Fri,96%,112%,103%,100%,76%,77%,68%,81%,81%,104%,[z],[z]
21-May-2022,Sat,101%,120%,111%,105%,76%,77%,89%,89%,84%,189%,[z],[z]
22-May-2022,Sun,106%,131%,125%,111%,77%,78%,96%,92%,95%,192%,[z],[z]
23-May-2022,Mon,95%,115%,107%,100%,77%,78%,66%,78%,81%,139%,[z],[z]
24-May-2022,Tue,93%,113%,106%,98%,77%,78%,72%,80%,85%,116%,[z],[z]
25-May-2022,Wed,94%,113%,106%,98%,78%,79%,73%,81%,80%,214%,[z],[z]
26-May-2022,Thu,94%,111%,105%,98%,79%,79%,76%,82%,82%,149%,[z],[z]
27-May-2022,Fri,98%,112%,103%,102%,77%,77%,74%,83%,82%,133%,[z],[z]
28-May-2022,Sat,104%,123%,113%,107%,77%,77%,93%,88%,84%,200%,[z],[z]
29-May-2022,Sun,105%,129%,127%,110%,77%,77%,102%,87%,94%,151%,[z],[z]
30-May-2022,Mon,94%,109%,105%,97%,[x],[x],65%,70%,67%,99%,[z],[note 15]
31-May-2022,Tue,92%,108%,105%,96%,77%,77%,68%,70%,72%,85%,[z],[note 16]
01-Jun-2022,Wed,99%,113%,103%,102%,82%,80%,72%,74%,73%,129%,[z],[note 16]
02-Jun-2022,Thu (BH),85%,78%,49%,82%,[x],[x],119%,103%,[x],169%,[z],"[notes 8, 15]"
03-Jun-2022,Fri (BH),78%,70%,39%,75%,[x],[x],110%,104%,[x],116%,[z],"[notes 8, 15]"
04-Jun-2022,Sat,96%,108%,88%,98%,83%,79%,74%,76%,75%,150%,[z],[note 16]
05-Jun-2022,Sun,99%,122%,120%,104%,82%,77%,79%,76%,87%,84%,[z],[note 16]
06-Jun-2022,Mon,93%,110%,104%,97%,80%,75%,16%,89%,75%,121%,[z],[note 16]
07-Jun-2022,Tue,93%,111%,105%,97%,81%,76%,61%,86%,83%,140%,[z],[note 16]
08-Jun-2022,Wed,92%,111%,105%,96%,75%,71%,70%,83%,77%,139%,[z],[note 16]
09-Jun-2022,Thu,93%,109%,105%,97%,77%,72%,70%,82%,81%,163%,[z],[note 16]
10-Jun-2022,Fri,96%,111%,104%,100%,77%,73%,67%,84%,80%,135%,[z],[z]
11-Jun-2022,Sat,101%,121%,112%,105%,79%,75%,81%,90%,82%,195%,[z],[z]
12-Jun-2022,Sun,107%,133%,127%,112%,80%,76%,88%,88%,93%,182%,[z],[z]
13-Jun-2022,Mon,96%,115%,109%,100%,81%,76%,66%,86%,80%,149%,[z],[z]
14-Jun-2022,Tue,94%,113%,107%,99%,82%,77%,70%,80%,83%,154%,[z],[z]
15-Jun-2022,Wed,94%,112%,107%,99%,81%,77%,71%,82%,79%,189%,[z],[z]
16-Jun-2022,Thu,94%,110%,107%,99%,82%,77%,72%,83%,81%,209%,[z],[z]
17-Jun-2022,Fri,98%,111%,104%,101%,82%,77%,67%,79%,78%,159%,[z],[z]
18-Jun-2022,Sat,101%,119%,110%,104%,82%,78%,91%,82%,81%,160%,[z],[z]
19-Jun-2022,Sun,110%,133%,124%,114%,82%,77%,93%,87%,92%,158%,[z],[z]
20-Jun-2022,Mon,96%,115%,109%,101%,80%,75%,66%,81%,80%,172%,[z],[z]
21-Jun-2022,Tue,94%,114%,107%,99%,70%,66%,4%,90%,83%,169%,[z],[z]
22-Jun-2022,Wed,94%,113%,106%,99%,66%,62%,49%,82%,78%,199%,[z],[z]
23-Jun-2022,Thu,94%,111%,105%,99%,57%,53%,43%,81%,81%,197%,[z],[z]
24-Jun-2022,Fri,98%,112%,103%,101%,52%,49%,64%,82%,77%,134%,[z],[z]
25-Jun-2022,Sat,104%,123%,112%,107%,45%,42%,72%,90%,85%,188%,[z],[z]
26-Jun-2022,Sun,108%,135%,129%,113%,45%,42%,85%,90%,94%,167%,[z],[z]
27-Jun-2022,Mon,95%,114%,108%,100%,47%,43%,68%,79%,75%,136%,[z],[z]
28-Jun-2022,Tue,93%,112%,106%,98%,56%,52%,74%,82%,80%,130%,[z],[z]
29-Jun-2022,Wed,93%,112%,106%,98%,63%,58%,76%,81%,76%,150%,[z],[z]
30-Jun-2022,Thu,94%,111%,104%,98%,72%,67%,78%,81%,77%,163%,[z],[z]
01-Jul-2022,Fri,97%,112%,102%,100%,79%,73%,75%,81%,75%,124%,[z],[z]
02-Jul-2022,Sat,99%,120%,108%,103%,86%,81%,95%,84%,83%,170%,[z],[z]
03-Jul-2022,Sun,105%,133%,125%,111%,87%,81%,85%,87%,96%,191%,[z],[z]
04-Jul-2022,Mon,95%,114%,108%,100%,86%,81%,67%,80%,77%,172%,[z],[z]
05-Jul-2022,Tue,92%,110%,104%,97%,86%,80%,71%,80%,81%,143%,[z],[z]
06-Jul-2022,Wed,92%,111%,104%,97%,82%,77%,73%,80%,76%,162%,[z],[z]
07-Jul-2022,Thu,93%,110%,102%,98%,81%,76%,73%,80%,78%,187%,[z],[z]
08-Jul-2022,Fri,96%,111%,101%,100%,80%,75%,67%,80%,77%,157%,[z],[z]
09-Jul-2022,Sat,101%,120%,108%,105%,80%,76%,82%,86%,85%,208%,[z],[z]
10-Jul-2022,Sun,108%,136%,124%,114%,81%,76%,84%,87%,101%,215%,[z],[z]
11-Jul-2022,Mon,96%,115%,105%,101%,80%,76%,65%,76%,74%,178%,[z],[z]
12-Jul-2022,Tue,93%,113%,104%,98%,80%,76%,70%,76%,77%,145%,[z],[z]
13-Jul-2022,Wed,93%,112%,105%,98%,79%,74%,69%,78%,74%,195%,[z],[z]
14-Jul-2022,Thu,94%,111%,104%,98%,79%,75%,71%,81%,76%,205%,[z],[z]
15-Jul-2022,Fri,98%,112%,102%,101%,79%,74%,67%,80%,76%,141%,[z],[z]
16-Jul-2022,Sat,102%,122%,111%,106%,79%,74%,80%,88%,84%,219%,[z],[z]
17-Jul-2022,Sun,106%,131%,123%,112%,78%,73%,76%,88%,96%,190%,[z],[z]
18-Jul-2022,Mon,91%,111%,103%,96%,75%,70%,49%,67%,64%,143%,[z],[note 10]
19-Jul-2022,Tue,85%,104%,98%,90%,70%,66%,45%,63%,62%,110%,[z],[note 10]
20-Jul-2022,Wed,94%,113%,102%,98%,70%,66%,68%,78%,68%,157%,[z],[z]
21-Jul-2022,Thu,94%,111%,102%,98%,70%,66%,71%,79%,70%,176%,[z],[z]
22-Jul-2022,Fri,96%,111%,100%,99%,69%,64%,67%,78%,66%,122%,[z],[z]
23-Jul-2022,Sat,100%,119%,110%,104%,69%,64%,86%,87%,78%,193%,[z],[z]
24-Jul-2022,Sun,104%,130%,123%,109%,69%,64%,83%,86%,87%,167%,[z],[z]
25-Jul-2022,Mon,94%,113%,103%,98%,71%,67%,66%,77%,64%,117%,[z],[z]
26-Jul-2022,Tue,92%,109%,102%,96%,76%,71%,74%,79%,69%,127%,[z],[z]
27-Jul-2022,Wed,93%,110%,103%,97%,73%,68%,59%,86%,66%,155%,[z],[z]
28-Jul-2022,Thu,92%,108%,102%,96%,73%,68%,80%,89%,66%,166%,[z],[z]
29-Jul-2022,Fri,95%,108%,99%,99%,76%,71%,73%,85%,66%,131%,[z],[z]
30-Jul-2022,Sat,102%,122%,110%,106%,73%,68%,89%,97%,78%,157%,[z],[z]
31-Jul-2022,Sun,106%,134%,126%,111%,74%,69%,86%,88%,87%,160%,[z],[z]
01-Aug-2022,Mon,95%,111%,103%,99%,74%,69%,66%,79%,64%,149%,[z],[z]
02-Aug-2022,Tue,90%,105%,100%,94%,76%,70%,72%,84%,65%,111%,[z],[z]
03-Aug-2022,Wed,91%,106%,101%,95%,81%,76%,72%,81%,64%,156%,[z],[z]
04-Aug-2022,Thu,93%,105%,100%,96%,81%,76%,74%,82%,66%,182%,[z],[z]
05-Aug-2022,Fri,96%,108%,98%,99%,81%,76%,69%,84%,64%,130%,[z],[z]
06-Aug-2022,Sat,103%,120%,111%,107%,84%,79%,87%,90%,78%,194%,[z],[z]
07-Aug-2022,Sun,110%,133%,127%,115%,83%,78%,80%,94%,90%,189%,[z],[z]
08-Aug-2022,Mon,95%,111%,102%,99%,83%,78%,67%,81%,64%,142%,[z],[z]
09-Aug-2022,Tue,92%,107%,101%,96%,83%,78%,71%,81%,67%,141%,[z],[z]
10-Aug-2022,Wed,94%,109%,101%,98%,80%,75%,72%,81%,63%,167%,[z],[z]
11-Aug-2022,Thu,93%,107%,99%,97%,79%,75%,71%,79%,63%,172%,[z],[z]
12-Aug-2022,Fri,96%,109%,97%,99%,81%,76%,64%,71%,61%,128%,[z],[z]
13-Aug-2022,Sat,103%,121%,108%,107%,78%,73%,83%,89%,74%,195%,[z],[z]
14-Aug-2022,Sun,109%,134%,123%,115%,78%,73%,85%,84%,88%,178%,[z],[z]
15-Aug-2022,Mon,95%,111%,102%,98%,77%,72%,67%,82%,62%,125%,[z],[z]
16-Aug-2022,Tue,90%,106%,100%,94%,76%,71%,74%,79%,65%,97%,[z],[z]
17-Aug-2022,Wed,91%,107%,100%,95%,79%,73%,77%,85%,63%,125%,[z],[z]
18-Aug-2022,Thu,93%,106%,99%,96%,71%,66%,57%,84%,71%,164%,[z],[z]
19-Aug-2022,Fri,97%,109%,98%,99%,63%,58%,7%,90%,69%,136%,[z],[z]
20-Aug-2022,Sat,104%,121%,109%,107%,59%,55%,66%,89%,84%,176%,[z],[z]
21-Aug-2022,Sun,108%,131%,122%,113%,59%,55%,87%,91%,95%,191%,[z],[z]
22-Aug-2022,Mon,93%,110%,102%,97%,60%,55%,67%,81%,67%,113%,[z],[z]
23-Aug-2022,Tue,92%,107%,101%,96%,60%,56%,72%,82%,72%,126%,[z],[z]
24-Aug-2022,Wed,93%,109%,101%,97%,63%,59%,73%,83%,68%,139%,[z],[z]
25-Aug-2022,Thu,94%,108%,101%,97%,71%,66%,71%,78%,69%,143%,[z],[z]
26-Aug-2022,Fri,97%,108%,98%,100%,78%,73%,71%,84%,71%,129%,[z],[z]
27-Aug-2022,Sat,101%,117%,106%,105%,86%,80%,96%,91%,85%,191%,[z],[z]
28-Aug-2022,Sun,106%,128%,109%,110%,86%,80%,90%,85%,102%,194%,[z],[z]
29-Aug-2022,Mon (BH),87%,80%,45%,84%,90%,84%,89%,86%,[x],140%,[z],[note 8]
30-Aug-2022,Tue,94%,110%,101%,97%,90%,84%,75%,85%,74%,123%,[z],[z]
31-Aug-2022,Wed,94%,109%,104%,98%,85%,80%,76%,84%,71%,147%,[z],[z]
01-Sep-2022,Thu,93%,108%,102%,97%,88%,82%,75%,83%,73%,177%,[z],[z]
02-Sep-2022,Fri,95%,108%,102%,98%,88%,82%,71%,84%,72%,138%,[z],[z]
03-Sep-2022,Sat,100%,122%,111%,104%,88%,82%,94%,92%,83%,178%,[z],[z]
04-Sep-2022,Sun,104%,133%,125%,110%,88%,82%,87%,89%,93%,172%,[z],[z]
05-Sep-2022,Mon,93%,113%,105%,98%,85%,80%,69%,87%,74%,130%,[z],[z]
06-Sep-2022,Tue,91%,110%,104%,95%,85%,79%,75%,87%,80%,103%,[z],[z]
07-Sep-2022,Wed,92%,110%,103%,96%,85%,79%,80%,84%,81%,135%,[z],[z]
08-Sep-2022,Thu,92%,109%,102%,96%,83%,78%,78%,82%,82%,124%,[z],[z]
09-Sep-2022,Fri,95%,110%,101%,98%,82%,77%,72%,83%,80%,111%,[z],[z]
10-Sep-2022,Sat,99%,120%,110%,103%,82%,77%,92%,88%,82%,174%,[z],[z]
11-Sep-2022,Sun,104%,133%,125%,109%,83%,77%,95%,89%,94%,197%,[z],[z]
12-Sep-2022,Mon,95%,115%,105%,99%,83%,77%,70%,84%,85%,128%,[z],[z]
13-Sep-2022,Tue,93%,113%,104%,98%,83%,78%,76%,83%,90%,126%,[z],[z]
14-Sep-2022,Wed,93%,112%,105%,98%,82%,77%,79%,83%,85%,153%,[z],[z]
15-Sep-2022,Thu,94%,111%,105%,98%,82%,77%,74%,83%,87%,168%,[z],[z]
16-Sep-2022,Fri,98%,113%,104%,102%,79%,75%,75%,83%,85%,129%,[z],[z]
17-Sep-2022,Sat,105%,128%,113%,109%,80%,75%,92%,87%,87%,175%,[z],[z]
18-Sep-2022,Sun,107%,135%,112%,112%,80%,75%,101%,90%,102%,153%,[z],[z]
19-Sep-2022,Mon,55%,52%,30%,54%,[x],[x],63%,55%,17%,106%,[z],"[notes 14, 15]"
20-Sep-2022,Tue,94%,114%,102%,99%,81%,76%,73%,84%,93%,124%,[z],[note 16]
21-Sep-2022,Wed,92%,111%,107%,97%,86%,80%,76%,83%,88%,156%,[z],[note 16]
22-Sep-2022,Thu,93%,110%,105%,97%,86%,81%,78%,85%,88%,155%,[z],[note 16]
23-Sep-2022,Fri,97%,112%,104%,100%,90%,84%,72%,83%,86%,123%,[z],[note 16]
24-Sep-2022,Sat,102%,125%,116%,107%,89%,83%,96%,89%,87%,172%,[z],[note 16]
25-Sep-2022,Sun,105%,134%,128%,111%,88%,82%,90%,94%,99%,163%,[z],[note 16]
26-Sep-2022,Mon,93%,113%,105%,98%,86%,80%,72%,82%,86%,107%,[z],[z]
27-Sep-2022,Tue,92%,113%,105%,97%,86%,80%,75%,85%,93%,99%,[z],[z]
28-Sep-2022,Wed,91%,110%,105%,96%,82%,77%,77%,85%,89%,139%,[z],[z]
29-Sep-2022,Thu,92%,109%,103%,96%,82%,77%,78%,85%,91%,153%,[z],[z]
30-Sep-2022,Fri,94%,110%,100%,98%,82%,77%,74%,83%,81%,86%,[z],[z]
01-Oct-2022,Sat,104%,126%,108%,108%,75%,70%,88%,99%,93%,156%,[z],[z]
02-Oct-2022,Sun,105%,131%,121%,110%,76%,70%,95%,93%,99%,157%,[z],[z]
03-Oct-2022,Mon,94%,114%,106%,99%,76%,70%,74%,81%,91%,140%,[z],[z]
04-Oct-2022,Tue,92%,112%,103%,97%,75%,70%,78%,84%,93%,107%,[z],[z]
05-Oct-2022,Wed,92%,112%,103%,96%,69%,64%,63%,83%,85%,108%,[z],[z]
06-Oct-2022,Thu,93%,110%,103%,97%,69%,64%,78%,85%,91%,160%,[z],[z]
07-Oct-2022,Fri,95%,110%,102%,98%,69%,64%,76%,85%,85%,109%,[z],[z]
08-Oct-2022,Sat,104%,126%,109%,108%,69%,64%,85%,96%,95%,177%,[z],[z]
09-Oct-2022,Sun,104%,132%,120%,109%,69%,64%,100%,94%,99%,160%,[z],[z]
10-Oct-2022,Mon,94%,114%,105%,98%,69%,64%,71%,83%,90%,124%,[z],[z]
11-Oct-2022,Tue,93%,114%,105%,98%,70%,65%,77%,86%,94%,121%,[z],[z]
12-Oct-2022,Wed,92%,113%,106%,97%,74%,69%,79%,85%,89%,128%,[z],[z]
13-Oct-2022,Thu,92%,110%,103%,96%,75%,70%,77%,85%,92%,145%,[z],[z]
14-Oct-2022,Fri,94%,110%,101%,97%,73%,68%,73%,87%,88%,103%,[z],[z]
15-Oct-2022,Sat,99%,119%,107%,102%,79%,74%,100%,94%,87%,144%,[z],[z]
16-Oct-2022,Sun,104%,130%,123%,109%,79%,74%,92%,93%,101%,149%,[z],[z]
17-Oct-2022,Mon,92%,112%,104%,97%,79%,74%,70%,84%,88%,121%,[z],[z]
18-Oct-2022,Tue,92%,113%,103%,97%,78%,74%,76%,83%,94%,116%,[z],[z]
19-Oct-2022,Wed,91%,111%,104%,96%,83%,78%,77%,83%,86%,121%,[z],[z]
20-Oct-2022,Thu,90%,108%,100%,94%,82%,77%,79%,82%,83%,105%,[z],[z]
21-Oct-2022,Fri,94%,110%,100%,97%,86%,80%,73%,82%,[x],83%,[z],[note 11]
22-Oct-2022,Sat,101%,121%,111%,104%,85%,79%,90%,91%,[x],159%,[z],[note 11]
23-Oct-2022,Sun,99%,124%,120%,103%,85%,79%,88%,86%,[x],73%,[z],[note 11]
24-Oct-2022,Mon,91%,110%,102%,96%,85%,79%,74%,86%,75%,93%,[z],[z]
25-Oct-2022,Tue,91%,108%,102%,95%,85%,79%,79%,84%,80%,98%,[z],[z]
26-Oct-2022,Wed,91%,109%,102%,95%,82%,77%,81%,86%,75%,104%,[z],[z]
27-Oct-2022,Thu,91%,107%,101%,95%,83%,77%,83%,90%,76%,112%,[z],[z]
28-Oct-2022,Fri,94%,108%,99%,97%,83%,78%,77%,86%,76%,95%,[z],[z]
29-Oct-2022,Sat,101%,121%,109%,104%,84%,78%,99%,99%,86%,119%,[z],[z]
30-Oct-2022,Sun,105%,131%,120%,109%,84%,78%,87%,90%,98%,115%,[z],[z]
31-Oct-2022,Mon,93%,113%,105%,98%,84%,78%,71%,85%,89%,109%,[z],[z]
01-Nov-2022,Tue,92%,112%,103%,96%,84%,78%,77%,84%,91%,79%,[z],[z]
02-Nov-2022,Wed,91%,110%,103%,95%,83%,78%,78%,85%,86%,106%,[z],[z]
03-Nov-2022,Thu,92%,109%,101%,96%,82%,77%,76%,82%,89%,97%,[z],[z]
04-Nov-2022,Fri,95%,111%,101%,98%,80%,76%,73%,87%,89%,108%,[z],[z]
05-Nov-2022,Sat,99%,119%,108%,102%,75%,70%,85%,98%,86%,82%,[z],[z]
06-Nov-2022,Sun,98%,123%,117%,102%,75%,70%,87%,83%,94%,78%,[z],[z]
07-Nov-2022,Mon,93%,115%,106%,98%,71%,66%,65%,84%,90%,97%,[z],[z]
08-Nov-2022,Tue,92%,113%,104%,97%,71%,65%,78%,85%,94%,79%,[z],[z]
09-Nov-2022,Wed,93%,114%,106%,98%,69%,63%,75%,85%,90%,111%,[z],[z]
10-Nov-2022,Thu,93%,111%,103%,97%,69%,63%,10%,95%,92%,120%,[z],[z]
11-Nov-2022,Fri,94%,111%,103%,98%,67%,61%,70%,90%,91%,105%,[z],[z]
12-Nov-2022,Sat,100%,121%,111%,104%,74%,67%,99%,98%,93%,131%,[z],[z]
13-Nov-2022,Sun,101%,126%,119%,105%,74%,68%,92%,93%,102%,130%,[z],[z]
14-Nov-2022,Mon,92%,114%,108%,97%,78%,72%,73%,84%,92%,101%,[z],[z]
15-Nov-2022,Tue,91%,111%,106%,96%,79%,73%,78%,84%,88%,66%,[z],[z]
16-Nov-2022,Wed,91%,112%,106%,96%,85%,78%,80%,85%,90%,102%,[z],[z]
17-Nov-2022,Thu,90%,110%,103%,95%,87%,79%,80%,85%,87%,87%,[z],[z]
18-Nov-2022,Fri,94%,111%,104%,98%,91%,83%,77%,87%,89%,94%,[z],[z]
19-Nov-2022,Sat,98%,118%,112%,101%,91%,83%,105%,92%,90%,100%,[z],[z]
20-Nov-2022,Sun,99%,125%,121%,103%,90%,82%,99%,92%,100%,99%,[z],[z]
21-Nov-2022,Mon,90%,111%,107%,95%,89%,81%,73%,81%,84%,63%,[z],[z]
22-Nov-2022,Tue,92%,113%,106%,97%,89%,81%,80%,83%,94%,78%,[z],[z]
23-Nov-2022,Wed,91%,112%,107%,96%,85%,78%,79%,84%,85%,79%,[z],[z]
24-Nov-2022,Thu,91%,111%,105%,96%,84%,77%,80%,85%,88%,85%,[z],[z]
25-Nov-2022,Fri,94%,110%,104%,98%,84%,77%,77%,84%,90%,93%,[z],[z]
26-Nov-2022,Sat,98%,120%,114%,102%,80%,73%,87%,92%,90%,103%,[z],[z]
27-Nov-2022,Sun,101%,128%,123%,105%,80%,73%,89%,91%,102%,100%,[z],[z]
28-Nov-2022,Mon,93%,115%,109%,98%,81%,73%,73%,83%,91%,93%,[z],[z]
29-Nov-2022,Tue,91%,112%,107%,96%,81%,73%,77%,84%,93%,83%,[z],[z]
30-Nov-2022,Wed,93%,112%,108%,97%,82%,74%,78%,84%,87%,104%,[z],[z]
01-Dec-2022,Thu,92%,111%,105%,96%,82%,74%,80%,82%,91%,98%,[z],[z]
02-Dec-2022,Fri,94%,111%,105%,98%,81%,74%,76%,81%,89%,84%,[z],[z]
03-Dec-2022,Sat,98%,121%,114%,102%,85%,77%,96%,88%,91%,101%,[z],[z]
04-Dec-2022,Sun,100%,126%,123%,104%,84%,77%,94%,90%,99%,78%,[z],[z]
05-Dec-2022,Mon,93%,113%,107%,97%,84%,77%,74%,82%,89%,79%,[z],[z]
06-Dec-2022,Tue,92%,113%,107%,97%,84%,77%,81%,85%,93%,71%,[z],[z]
07-Dec-2022,Wed,92%,114%,107%,97%,83%,76%,82%,85%,88%,87%,[z],[z]
08-Dec-2022,Thu,91%,112%,106%,96%,83%,76%,82%,84%,89%,76%,[z],[z]
09-Dec-2022,Fri,92%,110%,103%,96%,79%,72%,78%,81%,86%,61%,[z],[z]
10-Dec-2022,Sat,92%,115%,111%,95%,78%,71%,92%,85%,84%,65%,[z],[note 10]
11-Dec-2022,Sun,91%,119%,120%,96%,79%,72%,92%,86%,95%,45%,[z],[note 10]
12-Dec-2022,Mon,86%,110%,104%,91%,75%,68%,61%,77%,81%,52%,[z],[note 10]
13-Dec-2022,Tue,90%,113%,104%,95%,67%,61%,58%,84%,87%,48%,[z],[note 13]
14-Dec-2022,Wed,90%,113%,103%,95%,62%,55%,59%,84%,83%,54%,[z],[note 13]
15-Dec-2022,Thu,91%,111%,101%,95%,58%,51%,73%,84%,84%,62%,[z],[z]
16-Dec-2022,Fri,92%,110%,98%,96%,52%,45%,63%,82%,81%,48%,[z],[note 13]
17-Dec-2022,Sat,96%,118%,112%,100%,45%,39%,75%,88%,83%,58%,[z],[note 13]
18-Dec-2022,Sun,92%,115%,120%,96%,43%,36%,76%,83%,87%,31%,[z],[z]
19-Dec-2022,Mon,93%,111%,102%,96%,45%,38%,69%,72%,71%,48%,[z],[z]
20-Dec-2022,Tue,93%,110%,102%,96%,52%,45%,73%,76%,77%,68%,[z],[z]
21-Dec-2022,Wed,93%,108%,98%,96%,56%,50%,68%,73%,70%,65%,[z],[z]
22-Dec-2022,Thu,93%,103%,86%,94%,57%,51%,65%,73%,68%,61%,[z],[z]
23-Dec-2022,Fri,90%,91%,65%,89%,62%,55%,58%,73%,63%,38%,[z],[note 9]
24-Dec-2022,Sat,86%,93%,58%,86%,61%,55%,64%,79%,56%,85%,[z],"[notes 9, 13]"
25-Dec-2022,Sun,60%,60%,12%,59%,[x],[x],[x],[x],[x],33%,[z],"[notes 8, 9, 13, 15]"
26-Dec-2022,Mon (BH),65%,50%,12%,59%,[x],[x],94%,98%,[x],46%,[z],"[notes 8, 13, 15]"
