,Jan. 2018,Feb. 2018,Mar. 2018,Apr. 2018,May 2018,Jun. 2018,Jul. 2018,Aug. 2018,Sep. 2018,Oct. 2018,Nov. 2018,Dec. 2018,"2,018"
Department stores,"9,127","9,670","11,467","10,551","12,010","11,165","10,985","12,079","10,362","10,993","14,549","19,120","142,078"
Department stores(excl. discount department stores),"2,648","3,051","3,633","3,538","3,859","3,421","3,276","3,418","3,179","3,317","4,851","6,380","44,571"
Discount dept. stores,"6,479","6,619","7,834","7,013","8,151","7,744","7,709","8,661","7,183","7,676","9,698","12,740","97,507"
Other general merchandise stores,"41,495","41,135","47,538","43,293","48,395","47,001","46,552","47,893","44,399","46,753","51,316","58,805","564,575"
Warehouse clubs and superstores,"35,955","35,473","41,029","37,260","41,507","40,603","40,278","41,465","38,183","40,156","43,828","50,331","486,068"
All other gen. merchandise stores,"5,540","5,662","6,509","6,033","6,888","6,398","6,274","6,428","6,216","6,597","7,488","8,474","78,507"
Miscellaneous store retailers,"9,453","9,220","10,326","10,101","12,163","11,199","10,536","11,196","10,231","11,472","11,111","11,487","128,495"
"Office supplies, stationery, and gift stores","2,134","2,060","2,297","2,180","2,454","2,390","2,584","2,958","2,495","3,098","2,506","3,058","30,214"
Office supplies and stationery stores,"1,062",883,942,854,860,797,917,"1,350",939,859,869,974,"11,306"
"Gift, novelty, and souvenir stores","1,072","1,177","1,355","1,326","1,594","1,593","1,667","1,608","1,556","2,239","1,637","2,084","18,908"
Used merchandise stores,"1,318","1,372","1,553","1,446","1,507","1,423","1,341","1,500","1,380","1,565","1,433","1,391","17,229"
Nonstore retailers,"53,078","48,708","54,749","52,686","55,847","51,835","53,541","55,342","51,299","57,637","69,669","72,477","676,868"
Electronic shopping and mail-order houses,"43,219","40,785","46,395","45,191","48,458","45,445","47,216","48,661","44,852","49,746","61,268","63,611","584,847"
Fuel dealers,"5,833","3,810","3,587","2,823","2,215","1,819","1,891","2,048","2,054","2,969","3,495","4,049","36,593"
Food services and drinking places,"54,607","54,852","63,562","60,274","64,063","63,545","63,413","64,399","59,746","61,390","58,728","62,526","731,105"
Drinking places,"2,042","2,019",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
Restaurants and other eating places,"47,861","47,608","55,373","52,256","55,979","56,133","56,410","56,602","51,448","52,869","50,969","55,109","638,617"
Full service restaurants,"24,193","24,119","27,828","26,027","27,882","27,823","27,680","27,810","25,113","25,707","24,899","28,279","317,360"
Limited service eating places,"23,668","23,489","27,545","26,229","28,097","28,310","28,730","28,792","26,335","27,162","26,070","26,830","321,257"
ADJUSTED(2),,,,,,,,,,,,,
"Retail and food services sales, total","490,426","493,334","493,022","494,498","500,930","499,218","502,255","501,962","500,033","505,622","507,278","496,973",
Retail sales and food services excl motor vehicle and parts,"390,478","393,621","393,112","394,497","400,155","398,827","401,378","401,912","400,619","405,531","406,156","394,765",
Retail sales and food services excl gasoline stations,"447,525","450,154","450,109","451,317","456,886","455,407","458,259","457,281","455,855","459,751","463,748","455,942",
Retail sales and food services excl motor vehicle and parts and gasoline stations,"347,577","350,441","350,199","351,316","356,111","355,016","357,382","357,231","356,441","359,660","362,626","353,734",
"Retail sales, total","431,006","433,647","432,774","434,998","440,091","437,762","440,024","439,439","438,880","443,924","445,847","435,613",
"Retail sales, total (excl. motor vehicle and parts dealers)","331,058","333,934","332,864","334,997","339,316","337,371","339,147","339,389","339,466","343,833","344,725","333,405",
GAFO(1),"107,225","108,595","107,127","107,669","109,779","108,001","108,355","107,845","107,252","108,378","109,160","108,112",
Motor vehicle and parts dealers,"99,948","99,713","99,910","100,001","100,775","100,391","100,877","100,050","99,414","100,091","101,122","102,208",
Automobile and other motor vehicle dealers,"92,157","91,880","92,095","92,207","92,817","92,479","92,897","92,105","91,395","92,093","93,151","94,274",
"Automotive parts, acc., and tire stores","7,791","7,833","7,815","7,794","7,958","7,912","7,980","7,945","8,019","7,998","7,971","7,934",
"Furniture, home furn, electronics, and appliance stores","17,700","17,814","17,742","17,972","17,832","17,892","17,863","17,776","17,621","17,712","17,698","17,736",
Furniture and home furnishings stores,"9,860","9,872","9,875","10,031","9,925","9,948","10,020","9,878","9,868","9,915","9,928","10,067",
Electronics and appliance stores,"7,840","7,942","7,867","7,941","7,907","7,944","7,843","7,898","7,753","7,797","7,770","7,669",
Building mat. and garden equip. and supplies dealers,"28,991","29,981","29,626","29,813","30,643","31,162","31,279","30,910","31,106","31,608","30,952","30,922",
Building mat. and supplies dealers,"25,551","26,325","25,993","26,382","27,017","27,485","27,553","27,005","27,118","27,431","26,975","26,981",
Food and beverage stores,"61,792","62,052","62,229","62,345","62,439","62,198","62,598","62,430","62,775","63,058","63,222","63,263",
Grocery stores,"55,336","55,555","55,716","55,859","55,897","55,696","56,057","55,937","56,177","56,408","56,569","56,629",
"Beer, wine and liquor stores","4,514","4,515","4,551","4,547","4,592","4,563","4,596","4,550","4,624","4,652","4,677","4,686",
Health and personal care stores,"27,604","27,484","27,626","27,909","28,397","28,105","28,247","28,478","28,379","28,595","29,102","27,925",
Pharmacies and drug stores,"22,997","22,746","22,868","23,036","23,464","23,120","23,336","23,587","23,426","23,675","24,069","23,174",
Gasoline stations,"42,901","43,180","42,913","43,181","44,044","43,811","43,996","44,681","44,178","45,871","43,530","41,031",
Clothing and clothing access. stores,"21,791","22,343","21,655","22,038","22,766","22,192","22,495","22,061","21,941","22,407","22,464","22,109",
Clothing stores,"15,961","16,394","15,833","16,032","16,711","16,171","16,384","16,213","16,133","16,358","16,418","16,159",
Men's clothing stores,761,774,766,799,783,779,765,772,768,768,780,757,
Women's clothing stores,"3,219","3,289","3,190","3,307","3,460","3,316","3,298","3,347","3,346","3,430","3,503","3,224",
Shoe stores,"2,987","3,054","2,924","3,068","3,128","3,081","3,212","2,978","3,040","3,164","3,180","3,124",
Jewelry stores,"2,619","2,675","2,678","2,720","2,719","2,733","2,700","2,677","2,578","2,698","2,671","2,629",
"Sporting goods, hobby, musical instrument, and book stores","6,793","7,090","7,157","7,063","7,060","6,851","6,544","6,479","6,384","6,380","6,428","6,326",
General merchandise stores,"58,405","58,777","58,033","58,071","59,624","58,575","58,934","58,998","58,786","59,320","60,005","59,530",
Department stores,"12,102","12,109","11,433","12,202","12,313","11,797","11,863","11,760","11,596","11,729","11,873","11,494",
Other general merchandise stores,"46,303","46,668","46,600","45,869","47,311","46,778","47,071","47,238","47,190","47,591","48,132","48,036",
Warehouse clubs and superstores,"39,861","40,219","40,225","39,512","40,813","40,361","40,603","40,692","40,577","40,934","41,192","41,289",
All other gen. merchandise stores,"6,442","6,449","6,375","6,357","6,498","6,417","6,468","6,546","6,613","6,657","6,940","6,747",
Miscellaneous stores retailers,"10,861","10,792","10,608","10,677","10,854","10,782","10,422","10,614","10,631","10,866","10,863","10,656",
Nonstore retailers,"54,220","54,421","55,275","55,928","55,657","55,803","56,769","56,962","57,665","58,016","60,461","53,907",
Electronic shopping and mail order houses,"46,273","47,042","47,830","48,024","48,026","48,449","49,235","49,452","50,114","50,198","52,591","46,095",
Fuel dealers,"3,576","2,773","2,776","3,204","2,961","2,920","3,055","3,025","3,003","3,148","3,013","2,882",
Food services and drinking places,"59,420","59,687","60,248","59,500","60,839","61,456","62,231","62,523","61,153","61,698","61,431","61,360",
