,Jan. 2021,Feb. 2021,Mar. 2021,Apr. 2021,May 2021,Jun. 2021,Jul. 2021,Aug. 2021,Sep. 2021,Oct. 2021,Nov. 2021,Dec. 2021,TOTAL,
Shoe stores,"2,247","2,177","3,702","3,378","3,586","3,316","3,442","3,892","2,921","2,997","3,279","4,477","39,414",
Jewelry stores,"2,326","2,994",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
"Sporting goods, hobby, musical instrument, and book stores","7,162","6,013","8,912","8,364","8,287","8,803","8,426","9,093","8,011","7,993","9,489","12,088","102,641",
Sporting goods stores,"4,144","3,662","5,830","5,558","5,430","5,881","5,468","5,657","4,733","4,762","5,509","7,310","63,944",
"Hobby, toy, and game stores","1,541","1,335","1,820","1,615","1,592","1,548","1,607","1,624","1,698","1,807","2,528","2,772","21,487",
Book stores,767,421,501,466,571,633,639,"1,033",788,620,628,"1,063","8,130",
General merchandise stores,"58,902","53,233","64,659","64,639","69,136","65,126","66,820","67,519","62,503","68,895","71,738","84,316","797,486",
Department stores,"8,338","7,964","10,855","10,073","11,268","10,858","11,044","11,479","10,265","11,142","13,011","17,193","133,490",
Department stores(excl. discount department stores),"1,338","1,609","2,243","2,287","2,746","2,587","2,504","2,475","2,392","2,582","3,400","5,057","31,220",
Discount dept. stores,"7,000","6,355","8,612","7,786","8,522","8,271","8,540","9,004","7,873","8,560","9,611","12,136","102,270",
Other general merchandise stores,"50,564","45,269","53,804","54,566","57,868","54,268","55,776","56,040","52,238","57,753","58,727","67,123","663,996",
Warehouse clubs and superstores,"43,862","38,971","45,696","46,462","49,530","46,495","48,188","48,536","44,869","49,824","50,120","57,027","569,580",
All other gen. merchandise stores,"6,702","6,298","8,108","8,104","8,338","7,773","7,588","7,504","7,369","7,929","8,607","10,096","94,416",
Miscellaneous store retailers,"10,551","10,142","12,962","13,199","13,649","13,982","13,992","13,950","13,760","14,570","14,092","15,155","160,004",
"Office supplies, stationery, and gift stores","1,835","1,741","2,226","2,229","2,310","2,498","2,655","2,814","2,763","3,185","2,364","3,104","29,724",
Office supplies and stationery stores,896,774,904,828,784,773,811,"1,124",912,766,735,835,"10,142",
"Gift, novelty, and souvenir stores",939,967,"1,322","1,401","1,526","1,725","1,844","1,690","1,851","2,419","1,629","2,269","19,582",
Used merchandise stores,"1,550","1,479","1,925","1,993","1,809","1,753","1,953","1,915","1,795","2,097","2,224","1,975","22,468",
Nonstore retailers,"84,262","79,005","94,264","92,717","89,639","91,211","86,696","90,959","87,187","94,412","112,557","119,617","1,122,526",
Electronic shopping and mail-order houses,"75,504","70,025","84,757","83,948","81,645","83,402","79,086","83,493","79,461","85,534","103,141","109,870","1,019,866",
Fuel dealers,"3,965","4,253","3,605","2,495","2,102","2,040","1,924","1,962","2,224","2,945","3,763","4,318","35,596",
Food services and drinking places,"54,876","52,477","67,477","69,514","74,821","74,827","78,646","76,322","72,858","76,396","71,140","75,259","844,613",
Drinking places,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Restaurants and other eating places,"50,362","47,552","61,303","63,009","67,905","67,739","71,423","68,144","64,166","67,345","63,282","67,838","760,068",
Full service restaurants,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Limited service eating places,"28,704","26,017","32,866","33,256","34,302","34,193","35,710","34,618","32,726","34,057","32,460","33,989","392,898",
ADJUSTED(2),,,,,,,,,,,,,,
"Retail and food services sales, total","570,510","555,489","616,348","622,705","615,543","622,125","612,647","616,892","620,529","630,562","637,775","632,515",,
Retail sales and food services excl motor vehicle and parts,"456,234","444,792","485,780","488,795","485,306","495,623","490,570","497,954","500,530","508,378","513,205","510,926",,
Retail sales and food services excl gasoline stations,"529,566","513,745","569,911","577,491","569,958","575,470","565,145","568,272","570,378","578,679","584,841","578,177",,
Retail sales and food services excl motor vehicle and parts and gasoline stations,"415,290","403,048","439,343","443,581","439,721","448,968","443,068","449,334","450,379","456,495","460,271","456,588",,
"Retail sales, total","511,693","498,200","550,963","554,420","545,289","548,693","537,817","542,140","545,726","555,517","562,175","558,148",,
"Retail sales, total (excl. motor vehicle and parts dealers)","397,417","387,503","420,395","420,510","415,052","422,191","415,740","423,202","425,727","433,333","437,605","436,559",,
GAFO(1),"115,717","109,657","122,566","123,405","122,411","123,349","122,276","122,108","122,567","124,326","124,262","122,529",,
Motor vehicle and parts dealers,"114,276","110,697","130,568","133,910","130,237","126,502","122,077","118,938","119,999","122,184","124,570","121,589",,
Automobile and other motor vehicle dealers,"105,691","102,239","120,865","124,254","120,892","117,122","112,620","109,445","110,549","112,526","114,854","111,514",,
"Automotive parts, acc., and tire stores","8,585","8,458","9,703","9,656","9,345","9,380","9,457","9,493","9,450","9,658","9,716","10,075",,
"Furniture, home furn, electronics, and appliance stores","19,076","18,134","20,139","20,260","19,910","20,116","20,045","19,700","19,617","20,345","19,378","18,919",,
Furniture and home furnishings stores,"11,790","11,152","11,949","12,005","11,822","11,706","11,775","11,738","11,763","11,996","11,920","11,509",,
Electronics and appliance stores,"7,286","6,982","8,190","8,255","8,088","8,410","8,270","7,962","7,854","8,349","7,458","7,410",,
Building mat. and garden equip. and supplies dealers,"38,691","36,956","42,276","42,189","40,385","39,911","39,109","39,041","39,307","40,011","41,147","41,298",,
Building mat. and supplies dealers,"33,460","31,809","36,505","36,762","35,213","34,674","33,930","33,684","34,177","34,739","35,829","35,906",,
Food and beverage stores,"71,487","71,740","72,199","72,826","73,368","74,046","73,879","75,605","75,819","76,140","76,378","76,948",,
Grocery stores,"63,472","63,821","64,006","64,604","65,195","65,814","65,850","67,509","67,771","68,142","68,218","68,824",,
"Beer, wine and liquor stores","5,900","5,807","5,979","5,960","5,908","5,922","5,733","5,804","5,790","5,788","5,840","5,806",,
Health and personal care stores,"30,204","30,005","32,527","32,394","31,795","32,826","32,678","32,981","32,676","32,506","32,870","32,866",,
Pharmacies and drug stores,"25,239","25,192","27,139","27,124","26,491","27,438","27,174","27,515","27,288","27,066","27,450","27,592",,
Gasoline stations,"40,944","41,744","46,437","45,214","45,585","46,655","47,502","48,620","50,151","51,883","52,934","54,338",,
Clothing and clothing access. stores,"20,888","19,869","24,261","24,274","24,875","25,868","25,152","24,677","25,076","25,248","25,824","24,718",,
Clothing stores,"14,213","13,730","16,601","16,727","17,092","17,997","17,588","17,197","17,384","17,328","17,729","16,972",,
Men's clothing stores,489,493,632,641,(S),(S),(S),(S),(S),(S),(S),(S),,
Women's clothing stores,"2,947","2,730","3,159","3,195","3,248","3,565","3,526","3,409","3,418","3,349","3,376","3,220",,
Shoe stores,"3,224","2,629","3,532","3,515","3,565","3,597","3,247","3,106","3,224","3,223","3,243","3,237",,
Jewelry stores,"3,199","3,258",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
"Sporting goods, hobby, musical instrument, and book stores","8,436","7,602","9,207","9,013","8,732","8,656","8,434","8,451","8,406","8,414","8,666","8,424",,
General merchandise stores,"65,060","61,821","66,483","67,371","66,479","66,184","66,217","66,738","66,875","67,801","67,820","67,998",,
Department stores,"10,442","9,849","11,232","11,129","11,300","11,500","11,286","11,245","11,283","11,437","11,344","11,177",,
Other general merchandise stores,"54,618","51,972","55,251","56,242","55,179","54,684","54,931","55,493","55,592","56,364","56,476","56,821",,
Warehouse clubs and superstores,"46,861","44,589","47,061","48,097","47,261","46,965","47,243","47,725","47,835","48,467","48,425","48,783",,
All other gen. merchandise stores,"7,757","7,383","8,190","8,145","7,918","7,719","7,688","7,768","7,757","7,897","8,051","8,038",,
Miscellaneous stores retailers,"12,148","11,918","13,302","13,288","12,641","13,346","13,496","13,644","13,821","13,951","14,106","14,018",,
Nonstore retailers,"90,483","87,714","93,564","93,681","91,282","94,583","89,228","93,745","93,979","97,034","98,482","97,032",,
Electronic shopping and mail order houses,"82,428","79,214","85,097","84,796","82,720","86,070","80,618","85,459","85,534","87,998","89,532","88,605",,
Fuel dealers,"2,633","3,116","2,841","2,794","2,864","3,013","3,035","2,911","2,997","3,236","3,269","2,982",,
Food services and drinking places,"58,817","57,289","65,385","68,285","70,254","73,432","74,830","74,752","74,803","75,045","75,600","74,367",,
