,Jan. 2021,Feb. 2021,Mar. 2021,Apr. 2021,May 2021,Jun. 2021,Jul. 2021,Aug. 2021,Sep. 2021,Oct. 2021,Nov. 2021,Dec. 2021,TOTAL,
NOT ADJUSTED,,,,,,,,,,,,,,
"Retail and food services sales, total","516,870","490,015","628,208","624,124","640,252","632,509","630,840","626,217","601,146","629,125","644,748","700,404","7,364,458",
Retail sales and food services excl motor vehicle and parts,"416,410","390,924","486,426","485,164","502,891","500,342","502,004","502,812","482,619","509,147","529,121","578,244","5,886,104",
Retail sales and food services excl gasoline stations,"480,020","454,115","582,514","579,317","591,795","582,262","578,540","574,242","550,092","575,478","593,614","649,815","6,791,804",
Retail sales and food services excl motor vehicle and parts and gasoline stations,"379,560","355,024","440,732","440,357","454,434","450,095","449,704","450,837","431,565","455,500","477,987","527,655","5,313,450",
"Retail sales, total","461,994","437,538","560,731","554,610","565,431","557,682","552,194","549,895","528,288","552,729","573,608","625,145","6,519,845",
"Retail sales, total (excl. motor vehicle and parts dealers)","361,534","338,447","418,949","415,650","428,070","425,515","423,358","426,490","409,761","432,751","457,981","502,985","5,041,491",
GAFO(1),"100,551","93,042","119,718","117,564","124,874","120,441","122,867","124,209","115,159","124,067","133,670","161,275","1,457,437",
Motor vehicle and parts dealers,"100,460","99,091","141,782","138,960","137,361","132,167","128,836","123,405","118,527","119,978","115,627","122,160","1,478,354",
Automobile and other motor vehicle dealers,"92,691","91,606","131,380","128,976","127,904","122,393","119,039","113,494","109,001","110,050","106,125","112,518","1,365,177",
Automobile dealers,"87,065","85,260","120,866","117,960","117,212","111,616","109,437","104,673","100,924","102,099","99,036","105,542","1,261,690",
New car dealers,"77,018","74,494","103,962","101,947","102,412","96,847","95,502","90,208","86,474","87,430","85,609","92,487","1,094,390",
Used car dealers,"10,047","10,766","16,904","16,013","14,800","14,769","13,935","14,465","14,450","14,669","13,427","13,055","167,300",
"Automotive parts, acc., and tire stores","7,769","7,485","10,402","9,984","9,457","9,774","9,797","9,911","9,526","9,928","9,502","9,642","113,177",
"Furniture, home furn, electronics, and appliance stores","17,232","15,991","20,241","19,171","19,332","19,498","19,847","19,851","19,432","19,850","21,669","23,070","235,184",
Furniture and home furnishings stores,"10,434","9,903","12,403","11,849","11,834","11,601","11,916","11,985","11,869","11,960","12,719","12,614","141,087",
Furniture stores,"6,108","5,762","7,241","6,851","6,840","6,482","6,688","6,658","6,711","6,738","6,783","6,575","79,437",
Home furnishings stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Floor covering stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
All other home furnishings stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Electronics and appliance stores,"6,798","6,088","7,838","7,322","7,498","7,897","7,931","7,866","7,563","7,890","8,950","10,456","94,097",
Household appliance stores,"1,624","1,472","1,925","1,818","1,746","1,886","1,827","1,797","1,792","1,773","1,848","1,769","21,277",
Electronics stores,"5,174","4,616","5,913","5,504","5,752","6,011","6,104","6,069","5,771","6,117","7,102","8,687","72,820",
Building mat. and garden equip. and supplies dealers,"30,948","29,409","43,231","46,854","46,691","45,284","41,476","39,902","39,189","39,777","39,834","38,576","481,171",
Building mat. and supplies dealers,"26,868","25,415","37,016","39,593","39,755","39,251","36,509","35,166","34,485","34,774","35,112","33,464","417,408",
Paint and wallpaper stores,980,950,"1,354","1,352","1,345","1,415","1,313","1,353","1,321","1,291","1,169","1,068","14,911",
Hardware stores,"2,487","2,320","3,055","3,292","3,411","3,370","3,084","2,973","2,907","2,949","2,977","3,089","35,914",
Food and beverage stores,"70,607","64,935","71,706","70,668","75,593","74,153","76,625","75,658","73,956","76,762","76,550","83,476","890,689",
Grocery stores,"63,726","58,205","63,878","62,860","67,281","65,880","68,155","67,712","66,212","68,755","68,082","72,678","793,424",
Supermarkets and other grocery (except convenience) stores,"61,122","55,729","60,978","59,984","64,156","62,702","64,816","64,426","63,034","65,497","64,864","69,312","756,620",
"Beer, wine, and liquor stores","5,056","4,924","5,674","5,668","6,056","5,993","6,163","5,711","5,576","5,759","6,009","7,623","70,212",
Health and personal care stores,"29,600","27,755","33,600","32,070","31,477","32,695","32,057","32,651","32,219","32,701","32,508","37,401","386,734",
Pharmacies and drug stores,"25,088","23,403","27,872","26,907","26,226","27,218","26,794","27,350","26,961","27,607","27,066","30,489","322,981",
Gasoline stations,"36,850","35,900","45,694","44,807","48,457","50,247","52,300","51,975","51,054","53,647","51,134","50,589","572,654",
Clothing and clothing access. stores,"15,420","16,064","23,680","23,161","25,809","24,516","25,119","24,932","22,450","24,144","28,410","38,697","292,402",
Clothing stores,"10,633","10,669","16,384","16,203","17,724","17,310","17,890","17,248","15,771","17,110","20,249","24,570","201,761",
Men's clothing stores,391,392,612,717,(S),(S),(S),(S),(S),(S),(S),(S),,
Women's clothing stores,"2,181","2,176","3,295","3,304","3,563","3,408","3,484","3,256","3,162","3,285","3,812","4,369","39,295",
Family clothing stores,"5,785","5,809","9,259","9,163","10,147","10,017","10,383","10,193","8,946","9,950","12,119","14,820","116,591",
Other clothing stores,"1,182","1,114","1,670","1,531","1,536","1,660","1,642","1,516","1,425","1,432","1,600","1,930","18,238",
