NOT ADJUSTED,Jan. 2023,Feb. 2023,Mar. 2023,Apr. 2023,May 2023,Jun. 2023,Jul. 2023,Aug. 2023,Sep. 2023,Oct. 2023,Nov. 2023,Dec. 2023,TOTAL
Other general merchandise stores,"57,044","54,765","58,650","61,432","63,820","62,896","63,169","63,959","60,634","63,490","65,620","76,038","751,517"
Warehouse clubs and superstores,"49,515","47,284","50,180","52,816","54,622","54,040","54,625","55,327","52,218","54,658","55,979","64,794","646,058"
All other gen. merchandise stores,"7,529","7,481","8,470","8,616","9,198","8,856","8,544","8,632","8,416","8,832","9,641","11,244","105,459"
Miscellaneous store retailers,"12,672","12,241","13,978","14,128","15,761","15,572","14,508","14,452","14,548","15,502","14,692","15,328","173,382"
"Office supplies, stationery, and gift stores","2,133","2,009","2,336","2,247","2,536","2,563","2,778","2,758","2,637","3,168","2,056","2,788","30,009"
Office supplies and stationery stores,924,752,860,752,780,738,787,"1,037",809,720,637,739,"9,535"
"Gift, novelty, and souvenir stores","1,209","1,257","1,476","1,495","1,756","1,825","1,991","1,721","1,828","2,448","1,419","2,049","20,474"
Used merchandise stores,"2,000","1,888","2,184","2,277","1,996","1,910","1,947","1,994","2,036","2,197","1,957","2,111","24,497"
Nonstore retailers,"105,096","98,004","109,820","104,875","113,694","108,405","110,672","113,258","106,262","116,350","132,127","141,148","1,359,711"
Electronic shopping and mail-order houses,"93,992","87,568","98,825","95,911","104,270","98,994","102,289","103,679","97,306","106,703","122,229","131,126","1,242,892"
Fuel dealers,"5,181","4,590","4,413","2,805","2,505","2,382","1,968","2,382","2,559","3,205","3,786","4,213","39,989"
Food services and drinking places,"82,291","80,666","92,353","89,890","94,753","93,801","94,569","94,076","92,421","93,381","88,992","96,889","1,094,082"
Drinking places,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
Restaurants and other eating places,"73,657","71,544","81,606","79,214","83,589","83,110","84,722","82,883","79,997","81,092","77,771","85,933","965,118"
Full service restaurants,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
Limited service eating places,"36,722","35,851","41,469","40,940","42,767","42,553","43,379","42,566","41,007","41,542","39,476","41,933","490,205"
ADJUSTED(2),,,,,,,,,,,,,
"Retail and food services sales, total","693,826","686,434","679,067","683,698","686,672","688,810","690,641","696,238","702,160","699,977","700,707","703,256",
Retail sales and food services excl motor vehicle and parts,"560,045","555,928","549,907","552,715","554,719","555,369","558,584","563,381","567,935","567,694","567,582","569,502",
Retail sales and food services excl gasoline stations,"637,432","631,201","624,204","629,704","634,112","636,630","638,567","640,626","644,882","644,431","647,189","650,157",
