,Jan. 2019,Feb. 2019,Mar. 2019,Apr. 2019,May 2019,Jun. 2019,Jul. 2019,Aug. 2019,Sep. 2019,Oct. 2019,Nov. 2019,Dec. 2019,TOTAL,
Department stores(excl. discount department stores),"2,383","2,652","3,085","3,106","3,292","3,018","2,950","3,058","2,857","2,917","4,111","6,119","39,548",
Discount dept. stores,"6,325","6,456","7,507","7,299","7,951","7,559","7,829","8,685","6,832","7,478","9,154","12,032","95,107",
Other general merchandise stores,"43,324","41,527","47,998","46,578","49,682","48,425","48,102","50,169","44,836","48,453","52,723","59,052","580,869",
Warehouse clubs and superstores,"37,432","35,744","41,411","39,907","42,597","41,732","41,548","43,497","38,577","41,629","45,461","50,535","500,070",
All other gen. merchandise stores,"5,892","5,783","6,587","6,671","7,085","6,693","6,554","6,672","6,259","6,824","7,262","8,517","80,799",
Miscellaneous store retailers,"9,180","9,011","10,124","10,634","12,416","11,231","11,273","11,708","10,701","11,917","11,517","12,136","131,848",
"Office supplies, stationery, and gift stores","2,052","1,958","2,179","2,198","2,543","2,411","2,658","2,845","2,383","2,940","2,344","3,051","29,562",
Office supplies and stationery stores,"1,010",831,887,846,826,749,889,"1,258",892,831,770,910,"10,699",
"Gift, novelty, and souvenir stores","1,042","1,127","1,292","1,352","1,717","1,662","1,769","1,587","1,491","2,109","1,574","2,141","18,863",
Used merchandise stores,"1,336","1,328","1,529","1,605","1,403","1,405","1,458","1,644","1,573","1,855","1,667","1,570","18,373",
Nonstore retailers,"57,111","53,131","57,051","57,914","62,209","57,760","61,490","61,266","58,397","64,806","71,642","89,753","752,530",
Electronic shopping and mail-order houses,"47,806","44,858","48,782","50,609","54,813","51,067","54,649","54,259","51,465","56,868","63,502","80,573","659,251",
Fuel dealers,"4,665","3,997","3,749","2,618","2,196","1,785","1,857","1,951","2,037","2,659","3,357","4,088","34,959",
Food services and drinking places,"56,440","56,560","65,806","63,170","67,464","66,043","66,289","68,333","63,715","66,364","64,337","67,769","772,290",
Drinking places,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Restaurants and other eating places,"49,904","49,623","57,771","55,241","59,244","58,479","59,033","59,821","54,560","56,553","55,186","58,634","674,049",
Full service restaurants,"24,623","24,666","28,186","26,710","29,241","28,788","28,867","29,499","26,710","27,747","27,627","30,437","333,101",
Limited service eating places,"25,281","24,957","29,585","28,531","30,003","29,691","30,166","30,322","27,850","28,806","27,559","28,197","340,948",
ADJUSTED(2),,,,,,,,,,,,,,
