"Aggregate energy commodity balance, 2022, gross calorific values (ktoe)",,,,,,,,,,
This worksheet contains one table,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet,,,,,,,,,,
Column1,Coal,Manufactured fuel [note 1],Primary oils,Petroleum products,Natural gas [note 2],Bioenergy & waste [note 3],Primary electricity,Electricity,Heat sold,Total
Production,452,0,"41,343",0,"36,418","13,274","18,848",0,0,"110,335"
Imports,"4,263",876,"50,910","30,959","53,163","5,440",0,"1,333",0,"146,946"
Exports,-395,-12,"-33,810","-23,060","-22,344",-503,0,"-1,790",0,"-81,915"
Marine bunkers,0,0,0,"-2,094",0,0,0,0,0,"-2,094"
Stock change [note 4],-186 ,+270 ,+451 ,+308 ,-350 ,-6 ,0,0,0,+487 
Total supply,"4,134","1,135","58,894","6,112","66,887","18,205","18,848",-457,0,"173,759"
Statistical difference [note 5],-32,-4 ,-22 ,+44 ,+91 ,0,0,-61 ,0,+16 
Total demand,"4,166","1,139","58,917","6,069","66,796","18,205","18,848",-396,0,"173,742"
Transfers,0,+31 ,+652 ,-720 ,+547 ,-585 ,"-8,560 ","+8,560 ",0,-74 
Transformation,"-3,122",-148,"-59,569","58,352","-24,510","-10,885","-10,288","19,189","1,550","-29,430"
Electricity generation,"-1,420",-423,0,-454,"-22,208","-10,649","-10,288","19,189",0,"-26,252"
Major power producers,"-1,419",0,0,-90,"-20,145","-4,919","-10,288","16,148",0,"-20,713"
Autogenerators,-1,-423,0,-364,"-2,063","-5,730",0,"3,042",0,"-5,539"
Heat generation,-4,-1,0,-64,"-2,302",-235,0,0,"1,550","-1,056"
Petroleum refineries,0,0,"-59,881","59,264",0,0,0,0,0,-617
Coke manufacture,-922,870,0,0,0,0,0,0,0,-51
Blast furnaces,-678,-739,0,0,0,0,0,0,0,"-1,417"
Patent fuel manufacture,-98,145,0,-51,0,0,0,0,0,-4
Other [note 6],0,0,312,-345,0,0,0,0,0,-32
Energy industry use,0,365,0,"3,571","4,627",0,0,"1,544",330,"10,437"
Electricity generation,0,0,0,0,0,0,0,"1,021",0,"1,021"
Oil and gas extraction,0,0,0,507,"3,842",0,0,51,0,"4,400"
Petroleum refineries,0,0,0,"3,064",227,0,0,297,330,"3,918"
Coal extraction,0,0,0,0,4,0,0,10,0,14
Coke manufacture,0,141,0,0,1,0,0,2,0,144
Blast furnaces,0,224,0,0,34,0,0,13,0,271
Patent fuel manufacture,0,0,0,0,0,0,0,0,0,0
Storage [note 7],0,0,0,0,0,0,0,43,0,43
Other,0,0,0,0,520,0,0,107,0,627
Losses,0,61,0,0,459,0,0,"2,387",0,"2,907"
Final consumption,"1,044",596,0,"60,130","37,746","6,736",0,"23,423","1,220","130,895"
Industry,710,397,0,"2,191","7,502","1,760",0,"7,477",601,"20,639"
Unclassified,0,0,0,"1,410",9,541,0,0,0,"1,960"
Iron and steel,17,397,0,15,426,0,0,199,0,"1,054"
Non-ferrous metals,18,0,0,1,229,0,0,400,0,648
Mineral products,399,0,0,122,"1,083",350,0,490,0,"2,444"
Chemicals,41,0,0,103,"1,266",103,0,"1,252",139,"2,905"
Mechanical engineering etc,10,0,0,0,757,0,0,476,0,"1,243"
Electrical engineering etc,4,0,0,1,266,0,0,490,0,761
Vehicles,0,0,0,28,391,12,0,264,0,696
"Food, beverages etc",37,0,0,136,"1,510",69,0,950,17,"2,719"
"Textiles, leather etc",0,0,0,44,240,0,0,220,0,504
"Paper, printing etc",0,0,0,28,248,404,0,829,27,"1,535"
Other industries,176,0,0,50,695,281,0,"1,777",419,"3,398"
Construction,8,0,0,253,382,0,0,130,0,773
Transport,11,0,0,"47,584",84,"2,355",0,750,0,"50,783"
Air,0,0,0,"10,588",0,42,0,0,0,"10,630"
Rail,11,0,0,589,0,0,0,407,0,"1,007"
Road,0,0,0,"35,612",84,"2,313",0,343,0,"38,352"
National navigation,0,0,0,795,0,0,0,0,0,795
Pipelines,0,0,0,0,0,0,0,0,0,0
Other,323,160,0,"5,378","30,036","2,621",0,"15,195",619,"54,332"
Domestic,304,160,0,"1,907","22,278","1,178",0,"8,204",271,"34,303"
Public administration,11,0,0,639,"3,048",52,0,"1,276",82,"5,108"
Commercial,4,0,0,"1,620","3,740","1,213",0,"5,422",260,"12,259"
Agriculture,0,0,0,843,65,173,0,293,3,"1,376"
Miscellaneous,5,0,0,369,905,5,0,0,3,"1,286"
Non energy use,0,39,0,"4,977",125,0,0,0,0,"5,141"
