"Aggregate energy commodity balance, 2020, gross calorific values (ktoe)",,,,,,,,,,
This worksheet contains one table,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet,,,,,,,,,,
Column1,Coal,Manufactured fuel [note 1],Primary oils,Petroleum products,Natural gas [note 2],Bioenergy & waste [note 3],Primary electricity,Electricity,Heat sold,Total
Production,"1,158",0,"53,648",0,"37,806","12,140","18,885",0,0,"123,637"
Imports,"3,141",812,"43,307","27,837","41,117","5,837",0,"1,925",0,"123,976"
Exports,-862,-8,"-43,593","-20,241","-9,117",-471,0,-385,0,"-74,676"
Marine bunkers,0,0,0,"-2,010",0,0,0,0,0,"-2,010"
Stock change [note 4],"+1,368 ",+5 ,+177 ,-695 ,-15 ,-12 ,0,0,0,+828 
Total supply,"4,805",809,"53,539","4,891","69,791","17,495","18,885","1,540",0,"171,755"
Statistical difference [note 5],-29,+1 ,-18 ,+90 ,+131 ,0,0,+9 ,0,+184 
Total demand,"4,834",808,"53,557","4,801","69,660","17,495","18,885","1,531",0,"171,571"
Transfers,0,-1 ,"-1,297 ","+1,271 ",+527 ,-544 ,"-8,174 ","+8,174 ",0,-45 
Transformation,"-3,683",253,"-52,259","51,654","-22,414","-10,931","-10,712","18,363","1,583","-28,147"
Electricity generation,"-1,462",-429,0,-312,"-20,014","-10,721","-10,712","18,363",0,"-25,286"
Major power producers,"-1,461",0,0,-100,"-17,772","-5,279","-10,712","15,315",0,"-20,009"
Autogenerators,-1,-429,0,-212,"-2,241","-5,441",0,"3,048",0,"-5,277"
Heat generation,-4,-1,0,-40,"-2,400",-210,0,0,"1,583","-1,072"
Petroleum refineries,0,0,"-52,672","52,515",0,0,0,0,0,-157
Coke manufacture,"-1,273","1,202",0,0,0,0,0,0,0,-71
Blast furnaces,-838,-660,0,0,0,0,0,0,0,"-1,498"
Patent fuel manufacture,-107,141,0,-55,0,0,0,0,0,-20
Other [note 6],0,0,413,-454,0,0,0,0,0,-41
Energy industry use,0,384,0,"3,386","5,254",0,0,"1,676",333,"11,034"
Electricity generation,0,0,0,0,0,0,0,"1,033",0,"1,033"
Oil and gas extraction,0,0,0,632,"4,486",0,0,50,0,"5,167"
Petroleum refineries,0,0,0,"2,754",207,0,0,399,333,"3,694"
Coal extraction,0,0,0,0,6,0,0,23,0,29
Coke manufacture,0,137,0,0,0,0,0,2,0,139
Blast furnaces,0,247,0,0,26,0,0,15,0,288
Patent fuel manufacture,0,0,0,0,0,0,0,0,0,0
Storage [note 7],0,0,0,0,0,0,0,37,0,37
Other,0,0,0,0,528,0,0,118,0,647
Losses,0,80,0,0,317,0,0,"2,354",0,"2,750"
Final consumption,"1,151",595,0,"54,340","42,202","6,020",0,"24,037","1,250","129,596"
Industry,799,405,0,"2,102","8,240","1,775",0,"7,372",654,"21,346"
Unclassified,50,0,0,"1,366",6,565,0,0,0,"1,987"
Iron and steel,19,405,0,13,405,2,0,187,0,"1,032"
Non-ferrous metals,14,0,0,1,243,0,0,390,0,648
Mineral products,373,0,0,85,"1,170",324,0,472,0,"2,424"
Chemicals,45,0,0,114,"1,616",108,0,"1,285",216,"3,385"
Mechanical engineering etc,7,0,0,0,874,0,0,472,0,"1,353"
Electrical engineering etc,3,0,0,1,277,0,0,530,0,811
Vehicles,0,0,0,29,460,12,0,318,0,819
"Food, beverages etc",46,0,0,114,"1,594",93,0,948,15,"2,810"
"Textiles, leather etc",0,0,0,42,229,0,0,191,0,462
"Paper, printing etc",0,0,0,29,315,411,0,741,4,"1,500"
Other industries,239,0,0,50,682,260,0,"1,734",419,"3,384"
Construction,3,0,0,258,367,0,0,103,0,731
Transport,9,0,0,"39,291",76,"1,822",0,514,0,"41,712"
Air,0,0,0,"5,768",0,0,0,0,0,"5,768"
Rail,9,0,0,472,0,0,0,417,0,898
Road,0,0,0,"32,433",76,"1,822",0,97,0,"34,428"
National navigation,0,0,0,618,0,0,0,0,0,618
Pipelines,0,0,0,0,0,0,0,0,0,0
Other,342,141,0,"6,324","33,497","2,423",0,"16,152",596,"59,476"
Domestic,321,141,0,"2,572","25,813","1,022",0,"9,250",272,"39,391"
Public administration,13,0,0,865,"3,047",40,0,"1,214",75,"5,254"
Commercial,4,0,0,"1,476","3,689","1,138",0,"5,346",243,"11,895"
Agriculture,0,0,0,906,67,220,0,342,3,"1,538"
Miscellaneous,5,0,0,505,881,5,0,0,3,"1,399"
Non energy use,0,49,0,"6,624",389,0,0,0,0,"7,062"
