"Aggregate energy commodity balance, 2018, gross calorific values (ktoe)",,,,,,,,,,
This worksheet contains one table,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet,,,,,,,,,,
Column1,Coal,Manufactured fuel [note 1],Primary oils,Petroleum products,Natural gas [note 2],Bioenergy & waste [note 3],Primary electricity,Electricity,Heat sold,Total
Production,"1,901",0,"56,050",0,"38,743","11,963","20,512",0,0,"129,169"
Imports,"6,713",714,"57,191","38,598","44,175","4,569",0,"1,834",0,"153,795"
Exports,-424,-8,"-48,680","-24,337","-7,195",-428,0,-191,0,"-81,263"
Marine bunkers,0,0,0,"-2,615",0,0,0,0,0,"-2,615"
Stock change [note 4],-121 ,-47 ,+151 ,+294 ,-570 ,-9 ,0,0,0,-303 
Total supply,"8,069",658,"64,712","11,940","75,154","16,095","20,512","1,643",0,"198,783"
Statistical difference [note 5],+37 ,-3 ,-36 ,-6 ,+263 ,0,0,-25 ,0,+230 
Total demand,"8,032",661,"64,748","11,946","74,891","16,095","20,512","1,668",0,"198,553"
Transfers,0,+4 ,"-1,043 ","+1,020 ",+440 ,-439 ,"-6,451 ","+6,451 ",0,-17 
Transformation,"-6,565",356,"-63,705","62,976","-26,082","-10,609","-14,061","22,028","1,623","-34,039"
Electricity generation,"-4,212",-489,0,-435,"-23,541","-10,421","-14,061","22,028",0,"-31,131"
Major power producers,"-4,203",0,0,-140,"-21,176","-4,863","-14,061","19,192",0,"-25,251"
Autogenerators,-10,-489,0,-295,"-2,365","-5,558",0,"2,837",0,"-5,880"
Heat generation,-4,-1,0,-48,"-2,541",-188,0,0,"1,623","-1,159"
Petroleum refineries,0,0,"-64,104","63,953",0,0,0,0,0,-151
Coke manufacture,"-1,343","1,259",0,0,0,0,0,0,0,-84
Blast furnaces,-879,-553,0,0,0,0,0,0,0,"-1,432"
Patent fuel manufacture,-127,140,0,-61,0,0,0,0,0,-48
Other [note 6],0,0,398,-433,0,0,0,0,0,-34
Energy industry use,0,446,0,"4,147","5,055",0,0,"1,981",339,"11,968"
Electricity generation,0,0,0,0,0,0,0,"1,306",0,"1,306"
Oil and gas extraction,0,0,0,600,"4,395",0,0,53,0,"5,048"
Petroleum refineries,0,0,0,"3,546",182,0,0,376,339,"4,443"
Coal extraction,0,0,0,0,7,0,0,35,0,42
Coke manufacture,0,181,0,0,0,0,0,1,0,182
Blast furnaces,0,266,0,0,27,0,0,15,0,308
Patent fuel manufacture,0,0,0,0,0,0,0,0,0,0
Storage [note 7],0,0,0,0,0,0,0,75,0,75
Other,0,0,0,0,444,0,0,120,0,564
Losses,0,90,0,0,345,0,0,"2,340",0,"2,775"
Final consumption,"1,467",484,0,"71,795","43,849","5,047",0,"25,827","1,285","149,754"
Industry,"1,072",266,0,"2,123","8,972","1,433",0,"7,902",705,"22,472"
Unclassified,100,0,0,"1,202",1,168,0,0,0,"1,471"
Iron and steel,21,266,0,16,371,0,0,220,0,894
Non-ferrous metals,18,0,0,1,272,0,0,372,0,663
Mineral products,434,0,0,149,"1,252",277,0,545,0,"2,657"
Chemicals,45,0,0,136,"1,775",96,0,"1,308",255,"3,616"
Mechanical engineering etc,7,0,0,0,979,1,0,538,1,"1,527"
Electrical engineering etc,3,0,0,1,297,0,0,497,0,798
Vehicles,0,0,0,33,568,0,0,409,0,"1,010"
"Food, beverages etc",57,0,0,136,"1,682",91,0,"1,012",15,"2,994"
"Textiles, leather etc",0,0,0,43,258,0,0,234,0,535
"Paper, printing etc",0,0,0,31,404,473,0,897,0,"1,804"
Other industries,382,0,0,49,711,325,0,"1,749",434,"3,650"
Construction,4,0,0,326,402,0,0,121,0,853
Transport,11,0,0,"55,322",10,"1,421",0,487,0,"57,251"
Air,0,0,0,"13,565",0,0,0,0,0,"13,565"
Rail,11,0,0,577,0,0,0,435,0,"1,023"
Road,0,0,0,"40,151",10,"1,421",0,53,0,"41,635"
National navigation,0,0,0,"1,029",0,0,0,0,0,"1,029"
Pipelines,0,0,0,0,0,0,0,0,0,0
Other,385,171,0,"6,555","34,454","2,194",0,"17,437",580,"61,775"
Domestic,358,171,0,"2,596","26,045",879,0,"9,111",270,"39,430"
Public administration,18,0,0,880,"3,371",39,0,"1,584",86,"5,978"
Commercial,4,0,0,"1,618","4,016","1,127",0,"6,372",221,"13,358"
Agriculture,0,0,0,935,91,143,0,370,3,"1,543"
Miscellaneous,5,0,0,525,931,5,0,0,0,"1,466"
Non energy use,0,48,0,"7,795",413,0,0,0,0,"8,256"
